DOI,Year,Title,Journal,Reason
10.1016/j.apenergy.2020.115834,2020,"A data-driven approach for multi-scale GIS-based building energy modeling for analysis, planning and support decision making",Applied Energy,Eliminated – Planning/Top-down
10.1016/j.buildenv.2020.107125,2020,The shape of days to come: Effects of climate change on low energy buildings,Building and Environment,Eliminated – Planning/Top-down
10.1016/j.enbuild.2020.110303,2020,Do we need building performance data to propose a climatic zoning for building energy efficiency regulations?,Energy and Buildings,Eliminated – Planning/Top-down
10.1016/j.jobe.2020.101247,2020,"An optimization model for the long-term energy planning based on useful energy, economic and environmental pollution reduction in residential sector: A case of Iran",Journal of Building Engineering,Eliminated – Planning/Top-down
10.1016/j.rser.2019.109681,2020,Assessing the impact of climate change on building heating and cooling energy demand in Canada,Renewable and Sustainable Energy Reviews,Eliminated – Planning/Top-down
10.1016/j.scs.2020.102300,2020,"Sensitivity of heating performance of an energy self-sufficient building to climate zone, climate change and HVAC system solutions",Sustainable Cities and Society,Eliminated – Planning/Top-down
10.1016/j.energy.2020.118792,2020,Scenarios of energy reduction potential of zero energy building promotion in the Asia-Pacific region to year 2050,Energy,Eliminated – Planning/Top-down
10.1016/j.enbuild.2020.110284,2020,On the localised climate change mitigation potential of building facades,Energy and Buildings,Eliminated – Planning/Top-down
10.1016/j.enbuild.2020.110320,2020,On the impact of internal gains and comfort band on the effectiveness of building thermal zoning,Energy and Buildings,Eliminated – Planning/Top-down
10.1016/j.enbuild.2020.110250,2020,Impact of climate change in cultural heritage: from energy consumption to artefacts’ conservation and building rehabilitation,Energy and Buildings,Eliminated – Planning/Top-down
10.1016/j.apenergy.2020.114868,2020,A robustness-based decision making approach for multi-target high performance buildings under uncertain scenarios,Applied Energy,Eliminated – Planning/Top-down
10.1016/j.apenergy.2019.114110,2020,Overheating risk in Mediterranean residential buildings: Comparison of current and future climate scenarios,Applied Energy,Eliminated – Planning/Top-down
10.1016/j.energy.2019.116694,2020,Projecting Texas energy use for residential sector under future climate and urbanization scenarios: A bottom-up method based on twenty-year regional energy use data,Energy,Eliminated – Planning/Top-down
