file,building_terms_ranked,system_terms_ranked,weather_terms_ranked,occupancy_terms_ranked,building_paradigms,system_paradigms,weather_paradigms,occupancy_paradigms,building_paradigm_terms,system_paradigm_terms,weather_paradigm_terms,occupancy_paradigm_terms,optimization_methods,optimization_method_terms,applications_merged,data_types_merged,optimization_reinforcement_learning_ranked,optimization_classical_control_and_mpc_ranked,optimization_metaheuristics_and_optim_ranked
10.1016_j.apenergy.2019.113920.json,room (21);building (10);temperature (4),acmv (19);ahu (17);coil (17);doas (11);chiller (5);pump (2);according (1);accumulation (1);achieve (1);act (1);air_conditioning_system (1);cop (1);mechanical_ventilation (1);storage (1),NM,internal (4);occupancy (3),greybox,greybox,NM,NM,kalman_filter;resistor_capacitor_model;state_space,state_space,NM,NM,classical_control_and_mpc;generic;metaheuristics_and_optim,gain;model_predictive_control;mpc;optimise;optimizes,model_predictive_control (214),predicted_mean_vote (94);air_temperature (17);thermal_comfort (17);occupancy (9);supply_air_temperature (5);air_velocity (2);globe_temperature (2);return_air_temperature (1);room_temperature (1);water_flow (1),NM,model_predictive_control (190),NM
10.1016_j.apenergy.2020.115147.json,building (60);room (9);temperature (1);zone (1),acmv (14);accuracy (7);achieve (6);chiller (6);ahu (4);vav (3);accumulation (2);activation (2);cop (2);activity (1);actuator (1);air_conditioning_system (1);mechanical_ventilation_systems (1),NM,occupancy (6);internal (5);heat_loads (1),blackbox,blackbox,blackbox,blackbox,artificial_neural_network;machine_learning_based,artificial_neural_network;machine_learning_based_building_dynamics;statistical,artificial_neural_network,artificial_neural_network,classical_control_and_mpc;generic,model_predictive_control;mpc;optimization;optimizer;pid,model_predictive_control (321);performance_analysis (1),predicted_mean_vote (139);air_temperature (45);thermal_comfort (34);globe_temperature (13);occupancy (13);air_velocity (5);mean_radiant_temperature (4);supply_air_temperature (3);room_temperature (2);supply_air_flow (1),NM,model_predictive_control (287);proportional_integral_derivative (10),particle_swarm_optimization (4);genetic_algorithm (2);multi_objective_function_that_could (1);quadratic_programming (1)
10.1016_j.apenergy.2020.115426.json,room (21);temperature (3),ac (11),NM,NM,blackbox,blackbox,NM,NM,bayesian_convolutional_neural_network;convolutional_neural_networks,bcnns;data_driven,NM,NM,reinforcement_learning,q_learning;reinforcement_learning,demand_response (2),setpoint (7);room_temperature (6);thermal_comfort (1),q_learning (7);reinforcement_learning (2),NM,NM
10.1016_j.apenergy.2021.117276.json,building (9);temperature (2),achieved (26);actual (22);accurate (11);accuracy (4);accordingly (2);across (2);action (2);account (1);achieving (1);dhi (1),NM,occupant_behavior (4),blackbox,blackbox,blackbox,blackbox,data_driven_approach,artificial_neural_network;data_driven;k_nearest_neighbors;machine_learning;statistical;support_vector_machine;support_vector_regression,k_nearest_neighbors;machine_learning;statistical;support_vector_machine;support_vector_regression,artificial_neural_network;data_driven;k_nearest_neighbors;machine_learning;support_vector_machine;support_vector_regression,generic;metaheuristics_and_optim,genetic_algorithm;optimization;optimizes,performance_evaluation (2),thermal_comfort (22);setpoints (6);heater_status (4);wind_speed (3);metering (2);presence (2),NM,NM,genetic_algorithm (9);multi_objective_occupant_behavior (2)
10.1016_j.apenergy.2021.117987.json,room (46);air_quality (3);temperature (3);building (2);indoor_environment (1);thermal_environment (1),accuracy (36);coil (11);hvac (8);according (2);accumulate (2);acquisition (2);accurate (1);achieved (1);action (1);actual (1);boiler (1);chiller (1);cop (1),outdoor_temperature (8),occupancy (46);internal (7);occupant_behavior (1),NM,NM,NM,NM,NM,NM,NM,NM,metaheuristics_and_optim,gave,commissioning (8);performance_evaluation (2),occupancy (173);setpoint (24);thermal_comfort (22);air_temperature (19);outdoor_temperature (13);return_air_temperature (8);fan_speed (7);room_temperature (5),NM,NM,NM
10.1016_j.apenergy.2022.119580.json,zone (63);room (31);temperature (20);building (12),achieved (8);actual (7);according (5);accuracy (5);accurate (5);across (4);access (2);action (2);fan_coil_unit (2);hvac (2);acceptable (1);achieving (1);acknowledged (1),outdoor_temperature (2),internal (20);occupant_number (4);infiltration (3),greybox,greybox,NM,greybox,resistor_capacitor_model,kalman_filter;resistor_capacitor_model,NM,kalman_filter;rc_model,classical_control_and_mpc;generic;metaheuristics_and_optim,gain;model_predictive_control;mpc;optimization;pi_controller,model_predictive_control (47);predictive_and (2),setpoint (56);predicted_mean_vote (34);room_temperature (31);thermal_comfort (6);outdoor_temperature (4);co2_concentration (2);occupancy (2),NM,model_predictive_control (47);pi_controller (2),linear_programming (2)
10.1016_j.buildenv.2020.107089.json,room (17);temperature (7);zone (4);building (2),actuation (4);vav (3);according (2);accuracy (2);active (2);hvac_system (2);achieve (1);across (1);position (1),NM,occupancy_patterns (2);height (1),NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,thermal_comfort (27);air_flow (14);setpoint (12);occupancy (9);ambient_temperature (8);operative_temperature (6);room_temperature (4);solar_irradiance (2);supply_air_temperature (2),NM,NM,NM
10.1016_j.enbuild.2020.109792.json,building (3);room (3);temperature (3),accuracy (1);accurate (1);hvac (1);valve (1),NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,classical_control_and_mpc,model_predictive_control,predictive (15),room_temperature (11);ambient_temperature (8),NM,model_predictive_control (13),convex_optimization (3)
10.1016_j.enbuild.2020.110271.json,building (49);ieq (12);temperature (12);zone (3);indoor_environmental_quality (1),actual (28);across (6);account (5);accuracy (2);accurate (2);accordance (1);achieved (1);activity (1);boiler (1);opening (1);tower (1),NM,occupancy (2),blackbox,blackbox,NM,NM,statistical,annual;statistical,NM,NM,metaheuristics_and_optim,gap;gas,commissioning (10),occupancy (28);air_temperature (2);metering (2),NM,NM,NM
10.1016_j.enbuild.2020.110276.json,building (71),actual (51);pump (26);chiller (24);ahu (16);hvac (14);action (6);tower (4);according (3);accurate (3);accommodate (2);exchanger (2);account (1);achieve (1);acutal (1),NM,occupancy (1),blackbox,NM,NM,NM,statistical_analysis,NM,NM,NM,metaheuristics_and_optim,gap;gas,commissioning (12),occupancy (22);metering (12);air_temperature (6);outdoor_temperature (6);setpoint (6);air_flow (2);fan_speed (2);return_air_temperature (2);supply_air_temperature (2);thermal_comfort (2),NM,NM,NM
