DOI,Year,Title,Journal
10.1016/j.enbuild.2023.113753,2024,Model predictive control of distributed energy resources in residential buildings considering forecast uncertainties,Energy and Buildings
10.1016/j.apenergy.2024.123414,2024,Scalable energy management approach of residential hybrid energy system using multi-agent deep reinforcement learning,Applied Energy
10.1016/j.energy.2023.127627,2023,Modeling and energy dynamic control for a ZEH via hybrid model-based deep reinforcement learning,Energy
10.1016/j.apenergy.2022.118361,2022,Data-driven prosumer-centric energy scheduling using convolutional neural networks,Applied Energy
10.1016/j.buildenv.2020.107144,2020,On the feasibility of affordable high-fidelity CFD simulations for indoor environment design and control,Building and Environment
10.1016/j.buildenv.2021.107513,2021,Quality control of CFD model of ozone reaction with human surface,Building and Environment
10.1016/j.enbuild.2021.111116,2021,Influence of air inlet/outlet arrangement of displacement ventilation on local environment control for unearthed relics,Energy and Buildings
10.1016/j.enbuild.2021.111444,2021,Numerical investigation on ventilation control strategy of reducing circulating air volume in a factory for storing satellites,Energy and Buildings
10.1016/j.buildenv.2019.106518,2020,"Modeling and data infrastructure for human-centric design and operation of sustainable, healthy buildings",Building and Environment
10.1016/j.jobe.2023.106272,2023,Development and validation of mobile app and data management system for intelligent control of indoor thermal environment,Journal of Building Engineering
10.1016/j.enbuild.2023.113509,2023,Development of climate-based thermal comfort ranges from existing data,Energy and Buildings
10.1016/j.autcon.2020.103277,2020,Digital twin-enabled anomaly detection for built asset monitoring in operation and maintenance,Automation in Construction
10.1016/j.autcon.2024.105823,2024,Virtual in-situ modeling between digital twin and BIM for advanced building O&M,Automation in Construction
10.1016/j.enbuild.2023.113291,2023,Design and applications of an IoT architecture for data-driven smart building operations and experimentation,Energy and Buildings
10.1016/j.enbuild.2024.114802,2024,A portable application framework for EMIS solutions using Brick semantic schema,Energy and Buildings
10.1016/j.aei.2023.102239,2024,Simultaneous in-situ calibration for physical and virtual sensors towards digital twin-enabled building operations,Advanced Engineering Informatics
10.1016/j.buildenv.2021.108180,2021,Temperature-dependent ventilation rates might improve perceived air quality,Building and Environment
10.1016/j.scs.2019.101847,2020,Sustainable subway IAQ monitoring and fault-tolerant ventilation control,Sustainable Cities and Society
10.1016/j.buildenv.2022.109218,2022,UAV-assisted task offloading for IoT in smart buildings and environment via deep reinforcement learning,Building and Environment
10.1016/j.enbuild.2023.113391,2023,A state-space model to control an adaptive facade prototype using data-driven techniques,Energy and Buildings
10.1016/j.buildenv.2023.110595,2023,Investigations on ML-based control-oriented modeling using historical thermal data of buildings,Building and Environment
10.1016/j.enbuild.2023.113485,2023,Towards automated occupant profile creation in smart buildings,Energy and Buildings
10.1016/j.apenergy.2021.116096,2021,A fundamental unified framework to quantify and characterise energy flexibility of residential buildings with multiple electrical and thermal energy systems,Applied Energy
10.1016/j.apenergy.2022.118362,2022,Hierarchical distributed multi-energy demand response for coordinated operation of building clusters,Applied Energy
10.1016/j.enbuild.2022.111806,2022,Distributed model predictive control of buildings and energy hubs,Energy and Buildings
10.1016/j.apenergy.2022.118825,2022,Scalable multi-agent reinforcement learning for distributed control of residential energy flexibility,Applied Energy
10.1016/j.apenergy.2022.118445,2022,Adaptable scheduling of smart building communities with thermal mapping and demand flexibility,Applied Energy
10.1016/j.apenergy.2023.121576,2023,A Bayesian deep-learning framework for assessing the energy flexibility of residential buildings with multicomponent energy systems,Applied Energy
10.1016/j.enbuild.2023.113884,2024,Model predictive control for demand flexibility of a residential building with multiple distributed energy resources,Energy and Buildings
10.1016/j.apenergy.2024.122456,2024,Energy management in citizen energy communities: A flexibility-constrained robust optimization approach considering prosumers comfort,Applied Energy
10.1016/j.apenergy.2024.122430,2024,Photovoltaic capacity dynamic tracking model predictive control strategy of air-conditioning systems with consideration of flexible loads,Applied Energy
10.1016/j.buildenv.2020.106741,2020,Real-time dynamic estimation of occupancy load and an air-conditioning predictive control method based on image information fusion,Building and Environment
10.1016/j.enbuild.2021.110727,2021,A probabilistic hot water usage model and simulator for use in residential energy management,Energy and Buildings
10.1016/j.enbuild.2021.111274,2021,Development of a tool to predict the socio-economic consequences of better air quality and temperature control in classrooms,Energy and Buildings
10.1016/j.enbuild.2022.111699,2022,A non-intrusive data-driven model for detailed occupants’ activities classification in residential buildings using environmental and energy usage data,Energy and Buildings
10.1016/j.rser.2022.112731,2022,Occupancy detection and localization strategies for demand modulated appliance control in Internet of Things enabled home energy management system,Renewable and Sustainable Energy Reviews
