DOI,Year,Title,Journal
10.1016/j.enbuild.2015.06.002,2015,Model predictive control for indoor thermal comfort and energy optimization using occupant feedback,Energy and Buildings
10.1016/j.enbuild.2015.01.038,2015,A data-driven state-space model of indoor thermal sensation using occupant feedback for low-energy buildings,Energy and Buildings
10.1016/j.enbuild.2014.10.008,2015,Thermal environments and thermal comfort impacts of Direct Load Control air-conditioning strategies in university lecture theatres,Energy and Buildings
10.1016/j.buildenv.2015.02.023,2015,Evaluation on classroom thermal comfort and energy performance of passive school building by optimizing HVAC control systems,Building and Environment
10.1016/j.apenergy.2015.05.119,2015,Fuzzy logic-based advanced on–off control for thermal comfort in residential buildings,Applied Energy
10.1016/j.enbuild.2015.06.076,2015,A hybrid predictive control approach for the management of an energy production–consumption system applied to a TRNSYS solar absorption cooling system for thermal comfort in buildings,Energy and Buildings
10.1016/j.applthermaleng.2014.11.004,2015,A study of adaptive thermal comfort in a well-controlled climate chamber,Applied Thermal Engineering
10.1016/j.proeng.2015.08.947,2015,Data driven analysis of customer flow meter data,Procedia Engineering
10.1016/j.egypro.2015.11.322,2015,Data-driven Simple Thermal Models: The Importance of the Parameter Estimates,Energy Procedia
10.1016/j.buildenv.2014.11.019,2015,Analysis and experiments on the periodically fluctuating air temperature in a building with earth-air tube ventilation,Building and Environment
10.1016/j.energy.2015.04.029,2015,Study on the optimal heat supply control algorithm for district heating distribution network in response to outdoor air temperature,Energy
10.1016/j.apenergy.2014.12.047,2015,A data-driven feed-forward decision framework for building clusters operation under uncertainty,Applied Energy
10.1016/j.enbuild.2014.10.083,2015,Building optimization and control algorithms implemented in existing BEMS using a web based energy management and control system,Energy and Buildings
10.1016/j.energy.2015.02.024,2015,"Multi-objective optimization of the HVAC (heating, ventilation, and air conditioning) system performance",Energy
10.1016/j.buildenv.2014.11.029,2015,A data-driven study of important climate factors on the achievement of LEED-EB credits,Building and Environment
10.1016/j.scs.2014.10.001,2015,Effect of built-up ratio on the variation of air temperature in a heritage city,Sustainable Cities and Society
10.1016/j.apenergy.2015.09.013,2015,A data-driven approach to identify households with plug-in electrical vehicles (PEVs),Applied Energy
10.1016/j.buildenv.2014.11.004,2015,The difference between the mean radiant temperature and the air temperature within indoor environments: A case study during summer conditions,Building and Environment
10.1016/j.renene.2014.05.065,2015,Probability of occupant operation of windows during transition seasons in office buildings,Renewable Energy
10.1016/j.egypro.2015.11.694,2015,Data-driven Performance Evaluation of Ventilated Photovoltaic Double-skin Facades in the Built Environment,Energy Procedia
