DOI,Year,Title,Journal,Reason
10.1016/j.enbuild.2021.110920,2021,Method of determining acceptable air temperature thresholds in Chinese HVAC buildings based on a data-driven model,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2021.111436,2021,Data-driven building energy modeling with feature selection and active learning for data predictive control,Energy and Buildings,KEEP – operational EE/control
10.1016/j.autcon.2021.103837,2021,"Impact of control loop performance on energy use, air quality, and thermal comfort in building systems with advanced sequences of operation",Automation in Construction,KEEP – operational EE/control
10.1016/j.scs.2021.102816,2021,Application of data-driven attack detection framework for secure operation in smart buildings,Sustainable Cities and Society,KEEP – operational EE/control
10.1016/j.apenergy.2021.117426,2021,Integration of Radiative-based air temperature regulating system into residential building for energy saving,Applied Energy,Eliminated – unclear/other
10.1016/j.apenergy.2021.117276,2021,Real data-driven occupant-behavior optimization for reduced energy consumption and improved comfort,Applied Energy,KEEP – operational EE/control
10.1016/j.enbuild.2021.111530,2021,Interconnected model with distributed thermal comfort for model based shading control,Energy and Buildings,KEEP – operational EE/control
10.1016/j.jobe.2021.102697,2021,Effect of design and operational strategies on thermal comfort and productivity in a multipurpose school building,Journal of Building Engineering,KEEP – operational EE/control
10.1016/j.buildenv.2020.107432,2021,Experimental study of an indoor temperature fuzzy control method for thermal comfort and energy saving using wristband device,Building and Environment,KEEP – operational EE/control
10.1016/j.enbuild.2021.110860,2021,Reinforcement learning of occupant behavior model for cross-building transfer learning to various HVAC control systems,Energy and Buildings,KEEP – operational EE/control
10.1016/j.jobe.2021.102389,2021,"Influence of perceived control on thermal comfort in winter, A case study in hot summer and cold winter zone in China",Journal of Building Engineering,KEEP – operational EE/control
10.1016/j.buildenv.2021.108357,2021,Development of novel PMV-based HVAC control strategies using a mean radiant temperature prediction model by machine learning in Kuwaiti climate,Building and Environment,KEEP – operational EE/control
10.1016/j.jobe.2021.102340,2021,Context-aware Model Predictive Control framework for multi-zone buildings,Journal of Building Engineering,KEEP – operational EE/control
10.1016/j.enbuild.2021.111255,2021,"A framework for a multi-source, data-driven building energy management toolkit",Energy and Buildings,KEEP – operational EE/control
10.1016/j.jclepro.2021.129172,2021,Energy utilization assessment of a semi-closed greenhouse using data-driven model predictive control,Journal of Cleaner Production,KEEP – operational EE/control
