DOI,Year,Title,Journal
10.1016/j.jobe.2015.06.003,2015,Role of building material in thermal comfort in tropical climates – A review,Journal of Building Engineering
10.1016/j.enbuild.2015.07.047,2015,A review of human thermal comfort in the built environment,Energy and Buildings
10.1016/j.rser.2015.04.095,2015,Review of bioclimatic architecture strategies for achieving thermal comfort,Renewable and Sustainable Energy Reviews
10.1016/j.egypro.2015.11.864,2015,"Assessment of the IEQ in Two High Schools by Means of Monitoring, Surveys and Dynamic Simulation",Energy Procedia
10.1016/j.proeng.2015.07.348,2015,Urban Climate Multi-Scale Modelling in Bilbao (Spain): A Review,Procedia Engineering
10.1016/j.enbuild.2014.10.005,2015,In-use monitoring of buildings: An overview and classification of evaluation methods,Energy and Buildings
10.1016/j.enbuild.2015.02.042,2015,In-use monitoring of buildings: An overview of data collection methods,Energy and Buildings
10.1016/j.enbuild.2015.09.018,2015,Review and evaluation of using household metered energy data for rating of building thermal efficiency of existing buildings,Energy and Buildings
10.1016/j.buildenv.2015.03.040,2015,A 50 year review of basic and applied research in radiant heating and cooling systems for the built environment,Building and Environment
10.1016/j.rser.2015.02.011,2015,The impact of greening systems on building energy performance: A literature review,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2015.02.023,2015,Phase change materials and products for building applications: A state-of-the-art review and future research opportunities,Energy and Buildings
10.1016/j.buildenv.2015.10.014,2015,Investigation of indoor environment quality of Chinese large-hub airport terminal buildings through longitudinal field measurement and subjective survey,Building and Environment
10.1016/j.enbuild.2015.04.033,2015,A review on natural ventilation applications through building façade components and ventilation openings in tropical climates,Energy and Buildings
10.1016/j.energy.2015.06.112,2015,Energy retrofit analysis toolkits for commercial buildings: A review,Energy
10.1016/j.buildenv.2015.03.032,2015,Dynamic characteristics and comfort assessment of airflows in indoor environments: A review,Building and Environment
10.1016/j.apenergy.2015.09.061,2015,Roof ponds as passive heating and cooling systems: A systematic review,Applied Energy
10.1016/j.buildenv.2014.11.014,2015,Review of heat/energy recovery exchangers for use in ZEBs in cold climate countries,Building and Environment
10.1016/j.aei.2015.03.004,2015,3D as-is building energy modeling and diagnostics: A review of the state-of-the-art,Advanced Engineering Informatics
10.1016/j.apenergy.2015.06.043,2015,"A review on sustainable construction management strategies for monitoring, diagnosing, and retrofitting the building’s dynamic energy performance: Focused on the operation and maintenance phase",Applied Energy
10.1016/j.rser.2015.03.062,2015,A review of indices for assessing visual comfort with a view to their use in optimization processes to support building integrated design,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2015.04.170,2015,Performance analysis of smart metering for smart grid: An overview,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2015.02.028,2015,Occupancy measurement in commercial office buildings for demand-driven control applications—A survey and detection system evaluation,Energy and Buildings
10.1016/j.rser.2015.03.055,2015,Cross-country review of smart grid adoption in residential buildings,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2015.01.051,2015,A review on desiccant based evaporative cooling systems,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2015.05.038,2015,Control strategies for integration of thermal energy storage into buildings: State-of-the-art review,Energy and Buildings
10.1016/j.rser.2015.07.177,2015,A review on the development of cool pavements to mitigate urban heat island effect,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2014.08.060,2015,Modelling solar potential in the urban environment: State-of-the-art review,Renewable and Sustainable Energy Reviews
10.1016/j.buildenv.2015.03.013,2015,A review of the corrective power of personal comfort systems in non-neutral ambient environments,Building and Environment
10.1016/j.rser.2014.08.084,2015,A state-of-the-art review on innovative glazing technologies,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2014.10.076,2015,Using BEopt (EnergyPlus) with energy audits and surveys to predict actual residential energy usage,Energy and Buildings
10.1016/j.rser.2014.12.018,2015,Energy efficiency index as an indicator for measuring building energy performance: A review,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2014.10.011,2015,"How are UK homes heated? A city-wide, socio-technical survey and implications for energy modelling",Energy and Buildings
10.1016/j.egypro.2015.11.355,2015,Review of Natural Ventilation Models,Energy Procedia
10.1016/j.rser.2015.05.081,2015,"On the application of multi-agent systems in buildings for improved building operations, performance and smart grid interaction – A survey",Renewable and Sustainable Energy Reviews
10.1016/j.rser.2015.06.003,2015,A comprehensive review on passive design approaches in green building rating tools,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2014.12.002,2015,Seasonal thermal energy storage with heat pumps and low temperatures in building projects—A comparative review,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2014.12.057,2015,A novel system solution for cooling and ventilation in office buildings: A review of applied technologies and a case study,Energy and Buildings
10.1016/j.rser.2015.04.065,2015,A review on artificial intelligence based load demand forecasting techniques for smart grid and buildings,Renewable and Sustainable Energy Reviews
10.1016/j.proeng.2015.08.1096,2015,Survey Study on Health Effects Related with Indoor Environment of Residential Building during Winter Heating Period in Qiqihar City,Procedia Engineering
10.1016/j.rser.2015.07.037,2015,Improving the energy performance of residential buildings: A literature review,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2015.03.014,2015,Ground coupled heat exchangers: A review and applications,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2015.07.023,2015,Modeling for home electric energy management: A review,Renewable and Sustainable Energy Reviews
10.1016/j.rser.2015.07.123,2015,A review of modelling approaches and tools for the simulation of district-scale energy systems,Renewable and Sustainable Energy Reviews
10.1016/j.egypro.2015.06.012,2015,Analysis of Electricity User Behavior: Case Study Based on Results from Extended Household Survey,Energy Procedia
