DOI,Year,Title,Journal
10.1016/j.enbuild.2015.06.002,2015,Model predictive control for indoor thermal comfort and energy optimization using occupant feedback,Energy and Buildings
10.1016/j.egypro.2015.11.640,2015,Comparison of the Efficiency of Building Hybrid Ventilation Systems with Different Thermal Comfort Models,Energy Procedia
10.1016/j.buildenv.2015.04.017,2015,An online learning approach for quantifying personalized thermal comfort via adaptive stochastic modeling,Building and Environment
10.1016/j.buildenv.2014.11.027,2015,Thermal comfort assessment of an office building served by under-floor air distribution (UFAD) system – A case study,Building and Environment
10.1016/j.enbuild.2015.01.038,2015,A data-driven state-space model of indoor thermal sensation using occupant feedback for low-energy buildings,Energy and Buildings
10.1016/j.buildenv.2014.11.018,2015,Adaptive model for outdoor thermal comfort assessment in an Oasis city of arid climate,Building and Environment
10.1016/j.scs.2015.07.017,2015,Impact of urban heat islands on the thermal comfort and cooling energy demand of artificial islands—A case study of AMWAJ Islands in Bahrain,Sustainable Cities and Society
10.1016/j.enbuild.2015.07.037,2015,Thermal comfort of multiple user groups in indoor aquatic centres,Energy and Buildings
10.1016/j.buildenv.2015.02.017,2015,A new method to assess spatial variations of outdoor thermal comfort: Onsite monitoring results and implications for precinct planning,Building and Environment
10.1016/j.egypro.2015.11.522,2015,A Field of the Thermal Comfort in University Buildings in Thailand under Air Condition Room,Energy Procedia
10.1016/j.proeng.2015.08.1080,2015,Thermal Comfort and Thermal Adaptation between Residential and Office Buildings in Severe Cold Area of China,Procedia Engineering
10.1016/j.enbuild.2014.11.063,2015,Application of multi-objective genetic algorithm to optimize energy efficiency and thermal comfort in building design,Energy and Buildings
10.1016/j.buildenv.2014.11.009,2015,Weighting of climate parameters for the prediction of thermal comfort in an aircraft passenger cabin,Building and Environment
10.1016/j.buildenv.2014.03.014,2015,Outdoor thermal comfort within five different urban forms in the Netherlands,Building and Environment
10.1016/j.egypro.2015.11.656,2015,Thermal Comfort Evaluation Within Non-residential Environments: Development of Artificial Neural Network by Using the Adaptive Approach Data,Energy Procedia
10.1016/j.egypro.2015.11.627,2015,Variability Assessment of Thermal Comfort in a Retrofitted Social Housing Neighborhood Based on “In Situ” Measurements,Energy Procedia
10.1016/j.proeng.2015.08.1029,2015,The Dynamic Thermal Comfort Index Analysis under the Air Supply Vent Coupled with the Cross-Flow,Procedia Engineering
