DOI,Year,Title,Journal
10.1016/j.buildenv.2015.02.023,2015,Evaluation on classroom thermal comfort and energy performance of passive school building by optimizing HVAC control systems,Building and Environment
10.1016/j.enbuild.2015.06.076,2015,A hybrid predictive control approach for the management of an energy production–consumption system applied to a TRNSYS solar absorption cooling system for thermal comfort in buildings,Energy and Buildings
10.1016/j.energy.2015.04.029,2015,Study on the optimal heat supply control algorithm for district heating distribution network in response to outdoor air temperature,Energy
10.1016/j.buildenv.2014.11.029,2015,A data-driven study of important climate factors on the achievement of LEED-EB credits,Building and Environment
10.1016/j.scs.2014.10.001,2015,Effect of built-up ratio on the variation of air temperature in a heritage city,Sustainable Cities and Society
10.1016/j.apenergy.2015.09.013,2015,A data-driven approach to identify households with plug-in electrical vehicles (PEVs),Applied Energy
10.1016/j.renene.2014.05.065,2015,Probability of occupant operation of windows during transition seasons in office buildings,Renewable Energy
10.1016/j.egypro.2015.11.694,2015,Data-driven Performance Evaluation of Ventilated Photovoltaic Double-skin Facades in the Built Environment,Energy Procedia
10.1016/j.enbuild.2015.07.048,2015,Experimental study of diffuse ceiling ventilation coupled with a thermally activated building construction in an office room,Energy and Buildings
10.1016/j.enbuild.2015.05.058,2015,"A field study on thermal environment and occupant local thermal sensation in offices with cooling ceiling in Zhuhai, China",Energy and Buildings
10.1016/j.enbuild.2015.04.010,2015,How high albedo and traditional buildings’ materials and vegetation affect the quality of urban microclimate. A case study,Energy and Buildings
10.1016/j.enbuild.2015.08.045,2015,Optimizing urban irrigation schemes for the trade-off between energy and water consumption,Energy and Buildings
10.1016/j.egypro.2015.07.220,2015,Experimental Investigation on a Ceiling Capillary Radiant Heating System,Energy Procedia
10.1016/j.egypro.2015.11.112,2015,Push-pull Mechanical Ventilation System with Heat Exchanger Controlled by Intake Air Temperature,Energy Procedia
10.1016/j.egypro.2015.11.660,2015,The Influence of Solar Control Films on Energy and Daylighting Performance by Means of Experimental Data and Preliminary Unsteady Simulations,Energy Procedia
10.1016/j.solener.2014.11.024,2015,"System identification and model-predictive control of office buildings with integrated photovoltaic-thermal collectors, radiant floor heating and active thermal storage",Solar Energy
10.1016/j.buildenv.2015.11.004,2015,Evaluation of different air distribution systems for sleeping spaces in transport vehicles,Building and Environment
10.1016/j.renene.2014.05.062,2015,Experimental study on thermal response of passive solar house with color changed,Renewable Energy
10.1016/j.proeng.2015.08.412,2015,The Urban Heat Island Effect in the City of Toronto,Procedia Engineering
10.1016/j.apenergy.2015.05.072,2015,Estimating the benefits of electric vehicle smart charging at non-residential locations: A data-driven approach,Applied Energy
10.1016/j.egypro.2015.11.272,2015,Phase Change Materials Applications to Optimize Cooling Performance of Buildings in the Mediterranean Area: A Parametric Analysis,Energy Procedia
10.1016/j.enbuild.2014.11.053,2015,Development of a window shutter with phase change materials: Full scale outdoor experimental approach,Energy and Buildings
10.1016/j.apenergy.2014.09.084,2015,A fast chiller power demand response control strategy for buildings connected to smart grid,Applied Energy
10.1016/j.egypro.2015.11.311,2015,Orchestration of Renewable Generation in Low Energy Buildings and Districts Using Energy Storage and Load Shaping,Energy Procedia
10.1016/j.proeng.2015.09.208,2015,Study on LiBr-Liquid Desiccant System Driven by Heat Pump,Procedia Engineering
10.1016/j.egypro.2015.11.735,2015,Climate-based Performance Evaluation of Double Skin Facades by Building Energy Modelling in Central Europe,Energy Procedia
10.1016/j.proeng.2015.06.169,2015,Performance of Building Materials and Whole Enclosures in Non-Stationary Thermal Conditions,Procedia Engineering
10.1016/j.scs.2015.04.001,2015,Recent challenges in modeling of urban heat island,Sustainable Cities and Society
