DOI,Year,Title,Journal,Reason
10.1016/j.enbuild.2020.110086,2020,Dynamic indoor comfort temperature settings based on the variation in clothing insulation and its energy-saving potential for an air-conditioning system,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.scs.2020.102063,2020,New electrostatic precipitator with dielectric coatings to efficiently and safely remove sub-micro particles in the building environment,Sustainable Cities and Society,Eliminated – Materials/Envelope
10.1016/j.autcon.2019.103004,2020,Incorporating multi-physics deterioration analysis in building information modeling for life-cycle management of durability performance,Automation in Construction,Eliminated – Materials/Envelope
10.1016/j.solener.2020.09.015,2020,Preparation and assessment of the potential energy savings of thermochromic and cool coatings considering inter-building effects,Solar Energy,Eliminated – Materials/Envelope
10.1016/j.enbuild.2020.109920,2020,Energy saving performance of thermochromic coatings with different colors for buildings,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.buildenv.2020.107107,2020,Thermal insulation cost optimality of opaque constructive solutions of buildings under Portuguese temperate climate,Building and Environment,Eliminated – Materials/Envelope
10.1016/j.jclepro.2020.123119,2020,Environmental effect on the performance of passive daytime photonic radiative cooling and building energy-saving potential,Journal of Cleaner Production,Eliminated – Materials/Envelope
10.1016/j.enbuild.2020.110452,2020,Structure characteristics and hygrothermal performance of silica aerogel composites for building thermal insulation in humid areas,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.ijrefrig.2019.09.021,2020,Investigations on coupling between performance and external operational conditions for a semiconductor refrigeration system,International Journal of Refrigeration,Eliminated – Materials/Envelope
10.1016/j.enbuild.2019.109607,2020,Experimental studies of the thermo and humidity state of a new building facade insulation system based on panels with ventilated channels,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.apenergy.2021.117631,2021,Performance of precooling strategies using switchable insulation systems for commercial buildings,Applied Energy,Eliminated – Materials/Envelope
10.1016/j.buildenv.2021.107602,2021,Can vacuum insulation panels be cost-effective when applied in building façades?,Building and Environment,Eliminated – Materials/Envelope
10.1016/j.renene.2021.04.090,2021,Influential factors on thermal performance of energy slabs equipped with an insulation layer,Renewable Energy,Eliminated – Materials/Envelope
10.1016/j.buildenv.2021.108004,2021,Hygrothermal performance of a new aerogel-based insulating render through weathering: Impact on building energy efficiency,Building and Environment,Eliminated – Materials/Envelope
10.1016/j.jobe.2020.101853,2021,Optimization and cost analysis of thickness of vacuum insulation panel for structural insulating panel buildings in cold climates,Journal of Building Engineering,Eliminated – Materials/Envelope
10.1016/j.enbuild.2021.110954,2021,The impact of thermal mass and insulation of building structure on energy efficiency,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.enbuild.2021.111506,2021,The economics of thermal superinsulation in buildings,Energy and Buildings,Eliminated – Materials/Envelope
10.1016/j.enbuild.2021.110779,2021,On the development of a building insulation using air layers with highly reflective interfaces,Energy and Buildings,Eliminated – Materials/Envelope
