file,scale,paradigms,model_hits,building_model_paradigms,building_model_paradigm_terms,system_model_paradigms,system_model_paradigm_terms,occupancy_model_paradigms,occupancy_model_paradigm_terms,climate_model_paradigms,climate_model_paradigm_terms,building_model_optim_methods,building_model_optim_objectives,building_model_optim_terms,system_model_optim_methods,system_model_optim_objectives,system_model_optim_terms,occupancy_model_optim_methods,occupancy_model_optim_objectives,occupancy_model_optim_terms,climate_model_optim_methods,climate_model_optim_objectives,climate_model_optim_terms,applications,kpis_all,kpi_primary,kpi_types,energy_waste_mentions,energy_waste_definition_found,energy_waste_sentences,energy_waste_definitions,kpi_tradeoff_groups,kpi_tradeoff_top_group,kpi_tradeoff_kpis_any,data_types,collected_data_resolution,sampling_mentions,model_development,model_inputs,input_resolutions_all,input_resolution_primary,online_learning_any,online_learning_components,doi_norm,DOI,Year,Title,Journal,in_csv1,in_csv2,match_type
10.1016_j.aei.2023.101895.json,building_model,whitebox;blackbox,calibrated simulation:0.75;co-simulation:0.75;contam:0.75;energyplus:0.75;fmu:0.75;matlab:0.75;simulation model:0.75;auto-sizing:0.75;combined:0.75;eng:0.75;filter:1.50;integrated:0.75;simplified:0.75;advanced:0.75;ann:0.75;data mining:0.75;data-driven:0.75;deep learning:0.75;developing:0.75;ensemble:0.75;estimation:0.75;forecasting:0.75,greybox;blackbox,simplified;time-series,NM,NM,NM,NM,NM,NM,mathematical_programming,energy;comfort;iaq_infection,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,subhourly,preamble:574S;preamble:1473H;preamble:2016H;preamble:2002H;preamble:6603H;preamble:90S;preamble:101503S;preamble:129H;preamble:2Second;preamble:5s;preamble:1min;preamble:30s;preamble:915min;preamble:62min;preamble:290min;preamble:465min;preamble:445.83min;preamble:473.75min;preamble:436.66min;preamble:685min;preamble:350min;preamble:240min;preamble:665min;preamble:0min;preamble:30min;preamble:610min;preamble:0min;preamble:240min;preamble:285min;preamble:20140306.11Min;preamble:daily;preamble:annual,deep learning;dynamically;management;occupancy;real-time;regular;sampled;schedule;setpoints;stochastic;time-series;uncertain;uncertainty;update;via,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.aei.2023.101895,10.1016/j.aei.2023.101895,2023,An intelligent HVAC control strategy for supplying comfortable and energy-efficient school environment,Advanced Engineering Informatics,True,True,both
10.1016_j.aei.2023.102239.json,building_model,greybox;blackbox,python:0.75;validated:0.75;appl:0.75;bayesian:1.50;convers:0.75;data center:0.75;dispatch:0.75;eng:0.75;integrated:0.75;mathematical:0.75;novel:0.75;advanced:0.75;anomaly detection:0.75;autoencoder:0.75;bayesian inference:0.75;bayesian network:0.75;data-driven:0.75;data-driven modeling:0.75;developing:0.75;diagnose:0.75,blackbox,developing,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;operation and maintenance;operation performance analysis;performance monitoring,daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,,NM,,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:107021S;preamble:109982S;preamble:110652S;preamble:112992H;preamble:271S;preamble:104578S;preamble:645H;preamble:13S;preamble:695S;preamble:30S;preamble:110026S;preamble:213S;preamble:1082S;preamble:100532S;preamble:66S;preamble:2023.107021S;preamble:2023.109982S;preamble:2023.110652S;preamble:2023.112992H;preamble:3S;preamble:2022.104578S;preamble:2011.573051H;preamble:8S;preamble:10.008S;preamble:2020.110026S;preamble:11.002S;preamble:12.077S;preamble:2023.100532S;preamble:01.013S;preamble:daily,bayesian;data-model;deterministic;feedback;management;real-time;time-series;uncertainty;update,electric_load;electric_use;occupancy;weather,daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.aei.2023.102239,10.1016/j.aei.2023.102239,2024,Simultaneous in-situ calibration for physical and virtual sensors towards digital twin-enabled building operations,Advanced Engineering Informatics,True,True,both
10.1016_j.aei.2024.102810.json,building_model,whitebox;greybox;blackbox,black-box:1.50;black-box models:0.75;gray-box models:1.50;library:0.75;matlab:0.75;modelica:0.75;physical models:0.75;simulink:0.75;system simulation:0.75;trnsys:0.75;appl:0.75;bayesian:1.50;combined:0.75;eng:0.75;filter:0.75;gray-box:0.75;hybrid:0.75;integrated:0.75;advanced:0.75;afdd:0.75;ann:0.75;anomaly detection:0.75;autoencoder:0.75;cart:0.75;classification:0.75;cnns:0.75;convolutional:0.75,greybox;blackbox,gray-box models;gray-box;propagation;forecasting;diagnose,NM,NM,NM,NM,NM,NM,optimal_control,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility,,False,,,,NM,,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:25S;preamble:187S;preamble:4366S;preamble:2015S;preamble:160S;preamble:847S;preamble:10H;preamble:57S;preamble:2014S;preamble:203H;preamble:58S;preamble:201S;preamble:1980s;preamble:25S;preamble:187S;preamble:4366S;preamble:160S;preamble:847S;preamble:10H;preamble:57S;preamble:203H;preamble:58S;preamble:201S;preamble:hourly;preamble:daily;preamble:monthly;preamble:annual,bayesian;deep learning;explicit;iteratively;management;multivariate;nature;occupancy;pre-defined;raw data;real-time;regular;sampled;time-series;unsupervised;updated;updating;via,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.aei.2024.102810,10.1016/j.aei.2024.102810,2024,Autoencoder-Based fault detection using building automation system data,Advanced Engineering Informatics,True,True,both
10.1016_j.apenergy.2019.113920.json,building_model;system_model,greybox;blackbox,energyplus:0.75;matlab:0.75;simulink:0.75;trnsys:0.75;appl:0.75;combined:0.75;convers:0.75;describe:0.75;eng:0.75;filter:1.50;hybrid:0.75;integrated:0.75;kalman:1.50;novel:0.75;developing:0.75;hybrid model:0.75;machine learning:0.75;national:0.75;oak:0.75;ridge:0.75;statistical:0.75;tn:0.75,greybox,rc;rc model;state-space;state-space model;describe;thermal model;simplified;developing,whitebox,trnsys,NM,NM,NM,NM,optimal_control;heuristic_metaheuristic,comfort;demand_response;energy;carbon;iaq_infection,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;mpc;operation performance analysis;performance monitoring;retrofit,1_min;5_min;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,subhourly,preamble:32S;preamble:545S;preamble:2005S;preamble:173H;preamble:39S;preamble:2019S;preamble:163S;preamble:391S;preamble:45Hz;preamble:5min;preamble:1min;preamble:5min;preamble:1min;preamble:2min;preamble:5min;preamble:0.2s;preamble:120s;preamble:120s;preamble:40h;preamble:30min;preamble:60min;preamble:daily;preamble:weekly;preamble:5-min;preamble:1-min,feedback;management;occupancy;programmed;real-time;schedule;update;updated;via,electric_load;electric_use;occupancy;weather,1_min;5_min;daily;hourly;monthly;subhourly;yearly,subhourly,yes,building_model,10.1016/j.apenergy.2019.113920,10.1016/j.apenergy.2019.113920,2020,Experimental study of model predictive control for an air-conditioning system with dedicated outdoor air system,Applied Energy,True,True,both
10.1016_j.apenergy.2019.114174.json,building_model,greybox;blackbox,control-oriented:1.50;extrapolation:0.75;validated:0.75;appl:0.75;describe:0.75;eng:0.75;finite:0.75;hybrid:0.75;integrated:0.75;mathematical:0.75;novel:0.75;propagation:1.50;recursive:1.50;advanced:0.75;developing:0.75;national:0.75;prediction model:0.75;regression:0.75;statistical:0.75;time-series:0.75,greybox;blackbox,describe;recursive;simplified;finite;advanced;appl;eng,NM,NM,NM,NM,NM,NM,optimal_control,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;mpc;operation performance analysis;performance monitoring,daily;hourly;monthly;subhourly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:3607S;preamble:1minute;preamble:60minute;preamble:155minute;preamble:84minute;preamble:248minute;preamble:3607S,adjust;dynamically;feedback;get;initialization;iteration;management;nature;occupancy;real-time;schedule;time-series,electric_load;electric_use;occupancy;operation_schedules;weather,daily;hourly;monthly;subhourly,subhourly,yes,building_model,10.1016/j.apenergy.2019.114174,10.1016/j.apenergy.2019.114174,2020,Dynamic modeling and economic model predictive control of a liquid desiccant air conditioning,Applied Energy,True,True,both
10.1016_j.apenergy.2019.114416.json,building_model,greybox;blackbox,library:0.75;matlab:0.75;simulation model:0.75;system simulation:0.75;trnsys:0.75;wisconsin-:0.75;appl:0.75;convers:0.75;eng:0.75;filter:1.50;hybrid:0.75;integrated:0.75;mathematical:0.75;novel:0.75;propagation:0.75;saelens:0.75;advanced:0.75;classification:0.75;data-driven:0.75;data-driven model:0.75;data-driven models:0.75;forecasting:0.75;linear regression:0.75;machine learning:0.75;mixture:0.75,greybox;blackbox,simplified;machine learning;advanced;zheng;novel;integrated;multi-layer;neural network;trnsys;data-driven;data-driven models;supervised;appl,NM,NM,NM,NM,NM,NM,optimal_control,demand_response;cost;energy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring;retrofit,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,,NM,,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:450S;preamble:34S;preamble:965S;preamble:1031S;preamble:2019S;preamble:2h;preamble:0.125h;preamble:8760h;preamble:16hr;preamble:15.5hr;preamble:6hr;preamble:16hr;preamble:hourly;preamble:daily;preamble:monthly;preamble:annual,deterministic;dynamically;feedback;management;nature;occupancy;real-time;scheduled;setpoints;stochastic;uncertain;uncertainty;unsupervised;update;via,electric_load;electric_use;internal_gains;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,building_model,10.1016/j.apenergy.2019.114416,10.1016/j.apenergy.2019.114416,2020,Machine-learning based hybrid demand-side controller for high-rise office buildings with high energy flexibilities,Applied Energy,True,True,both
10.1016_j.apenergy.2019.114451.json,building_model,greybox;blackbox,co-simulation:0.75;matlab:0.75;physical models:1.50;system simulation:0.75;trnsys:0.75;appl:0.75;combined:0.75;describe:0.75;eng:0.75;filter:1.50;low-pass:1.50;propagation:0.75;classification:0.75;developing:0.75;diagnose:0.75;diagnosis:0.75;estimation:0.75;fault detection:0.75;filtering:0.75;fusion:0.75,whitebox;greybox,describe;matlab;appl,NM,NM,NM,NM,NM,NM,NM,iaq_infection,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,energy waste,False,preamble: hese counteraction processes cause a considerable amount of energy waste [7]. the dv strategy can lead to high outdoor air cooling d,,energy_use|infection_risk;energy_use|thermal_comfort;infection_risk|thermal_comfort,infection_risk|thermal_comfort,energy_use;infection_risk;thermal_comfort,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:60H;preamble:32S;preamble:279S;preamble:7570S;preamble:704S;preamble:705S;preamble:1996S;preamble:1h;preamble:113832Min;preamble:annual,adjust;deterministic;feedback;management;occupancy;probabilistic;profile;real-time;regular;uncertain;uncertainty;update;updated;updating;via,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.apenergy.2019.114451,10.1016/j.apenergy.2019.114451,2020,Risk-based online robust optimal control of air-conditioning systems for buildings requiring strict humidity control considering measurement uncertainties,Applied Energy,True,True,both
10.1016_j.apenergy.2020.114638.json,building_model;system_model,whitebox;greybox;blackbox,building simulations:0.75;co-simulation:0.75;contam:0.75;energy simulation:0.75;energyplus:0.75;equation-based:0.75;erl:0.75;fmu:0.75;language:0.75;library:0.75;appl:0.75;bayesian:1.50;combined:0.75;describe:0.75;eng:0.75;hybrid:0.75;mathematical:0.75;novel:0.75;physical model:0.75;propagation:0.75;advanced:0.75;bayesian network:0.75;diagnosis:0.75;estimation:0.75;fault detection:0.75;fault diagnosis:0.75;machine learning:0.75;national:0.75;neural network:0.75,greybox,describe;simplified;energyplus;erl;language,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,energy waste,False,"preamble: l malfunction, the sub-optimal operation, and the potential energy waste [1,2]. national renewable energy laboratory conducted a bui",,,NM,,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:2018S;preamble:490S;preamble:271S;preamble:228S;preamble:2015H;preamble:62S;preamble:3017S;preamble:5min;preamble:hourly;preamble:daily;preamble:annual,bayesian;deterministic;dynamically;get;management;occupancy;sampled;stochastic;uncertain;uncertainty,electric_load;electric_use;internal_gains;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.apenergy.2020.114638,10.1016/j.apenergy.2020.114638,2020,A novel simulation-based framework for sensor error impact analysis in smart building systems: A case study for a demand-controlled ventilation system,Applied Energy,True,True,both
10.1016_j.apenergy.2020.114734.json,building_model;system_model,greybox;blackbox,black-box:1.50;ice:0.75;matlab:0.75;physical models:1.50;validated:0.75;appl:0.75;bayesian:1.50;convers:0.75;eng:0.75;hybrid:0.75;integrated:0.75;physical model:0.75;simplified:0.75;advanced:0.75;ann:0.75;data mining:0.75;data-driven:0.75;estimation:0.75;hybrid model:0.75;linear regression:0.75;national:0.75;neural network:0.75,greybox,simplified,NM,NM,NM,NM,NM,NM,NM,NM,NM,optimal_control,NM,NM,NM,NM,NM,NM,NM,NM,energy flexibility;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;thermal_comfort,energy waste,False,preamble:  may still cause over-ventilation and result in unnecessary energy waste or degradation of thermal comfort [22–24]. to solve this pr,,,NM,,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:221S;preamble:256S;preamble:2min;preamble:2min;preamble:221S;preamble:256S;preamble:annual,adjust;bayesian;explicit;get;management;occupancy;via,electric_load;electric_use;occupancy,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,system_model,10.1016/j.apenergy.2020.114734,10.1016/j.apenergy.2020.114734,2020,An energy-saving oriented air balancing method for demand controlled ventilation systems with branch and black-box model,Applied Energy,True,True,both
10.1016_j.apenergy.2020.114882.json,building_model,greybox;blackbox,energy simulation:0.75;energyplus:0.75;ice:0.75;simulation model:0.75;appl:0.75;bayesian:1.50;combined:0.75;eng:0.75;integrated:0.75;zhou:0.75;advanced:0.75;bayesian network:0.75;data-driven:0.75;data-driven approach:0.75;developing:0.75;leveraging:0.75;machine learning:0.75;national:0.75;non-intrusive:0.75,whitebox,energy simulation;energyplus;simulation model,NM,NM,NM,NM,NM,NM,NM,comfort;energy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,energy_use|thermal_comfort;energy_use|thermal_comfort|thermal_preference,energy_use|thermal_comfort,energy_use;thermal_comfort;thermal_preference,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,subhourly,preamble:2887S;preamble:1245S;preamble:daily;preamble:annual,adjust;bayesian;feedback;get;management;nature;occupancy;occupancy pattern;probabilistic;profile;sampled;setpoints;smart control;stochastic;uncertainty;updating;via,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.apenergy.2020.114882,10.1016/j.apenergy.2020.114882,2020,Energy saving potentials of integrating personal thermal comfort models for control of building systems: Comprehensive quantification through combinatorial consideration of influential parameters,Applied Energy,True,True,both
10.1016_j.apenergy.2020.115036.json,building_model,whitebox;greybox;blackbox,2r2c:1.50;energy simulation:0.75;energyplus:0.75;matlab:0.75;open-source:0.75;physics-based:1.50;pure:0.75;purely:0.75;python:0.75;reduced-order:0.75;appl:0.75;combined:0.75;eng:0.75;filter:1.50;hybrid:0.75;integrated:0.75;mathematical:0.75;novel:0.75;advanced:0.75;data-driven:0.75;data-driven model:0.75;data-driven models:0.75;deep learning:0.75;developing:0.75;estimation:0.75;estimator:0.75;gaussian process:0.75,greybox,rc;rc model;thermal dynamics;2r2c;purely;energyplus;matlab;machine learning;ml,NM,NM,NM,NM,NM,NM,reinforcement_learning;optimal_control,comfort;demand_response,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;mpc;operation performance analysis;performance monitoring;retrofit,annual;daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,subhourly,preamble:572S;preamble:569H;preamble:1261S;preamble:436S;preamble:161S;preamble:168H;preamble:10S;preamble:1035H;preamble:147S;preamble:225S;preamble:354H;preamble:14S;preamble:15H;preamble:4725S;preamble:146S;preamble:1970s;preamble:10.022S;preamble:08.014H;preamble:03.007S;preamble:48h;preamble:48h;preamble:0278364917710318S;preamble:06.001S;preamble:12.019H;preamble:2018.00840S;preamble:01.140H;preamble:06.002S;preamble:1.2710491S;preamble:8H;preamble:2015.7449452S;preamble:04.108H;preamble:2017.2667599S;preamble:03.010S;preamble:monthly;preamble:annual,deep learning;deterministic;exploration;feedback;get;iteration;management;occupancy;q-values;replay;sampled;schedule;setpoints;stochastic;uncertain;uncertainty;unsupervised;update;updated;via,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,yes,NM,10.1016/j.apenergy.2020.115036,10.1016/j.apenergy.2020.115036,2020,Reinforcement learning for building controls: The opportunities and challenges,Applied Energy,True,True,both
10.1016_j.apenergy.2020.115147.json,building_model,greybox;blackbox,energyplus:0.75;high-fidelity:0.75;matlab:0.75;physics-based:1.50;physics-based models:1.50;white-box:0.75;appl:0.75;combined:0.75;convers:0.75;eng:0.75;hybrid:0.75;integrated:0.75;mathematical:0.75;narx:0.75;advanced:0.75;ann:0.75;ann-based:0.75;autoregressive:0.75;data mining:0.75;data-driven:0.75;data-driven model:0.75;data-driven models:0.75;deep learning:0.75;developing:0.75,greybox;blackbox,physics-based;ml;ann;ann-based;simplified;neural network;data-driven;state-space;thermal model;developing;autoregressive;hybrid;high-fidelity,NM,NM,NM,NM,NM,NM,optimal_control;mathematical_programming;heuristic_metaheuristic,comfort;energy;iaq_infection,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,daily;hourly;monthly;subhourly;yearly,subhourly,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,,False,,,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,subhourly,preamble:306S;preamble:39S;preamble:279S;preamble:109451S;preamble:113920S;preamble:119S;preamble:106326S;preamble:5min;preamble:60min;preamble:40min;preamble:5min;preamble:40min;preamble:5min;preamble:10min;preamble:24h;preamble:5s;preamble:5min;preamble:36.5h;preamble:30min;preamble:30min;preamble:hourly;preamble:daily;preamble:weekly,deep learning;explicit;feedback;iteration;management;nature;occupancy;profile;real-time;schedule;time-series;update;updated;updating,electric_load;electric_use;occupancy;weather,daily;hourly;monthly;subhourly;yearly,subhourly,yes,building_model,10.1016/j.apenergy.2020.115147,10.1016/j.apenergy.2020.115147,2020,Model predictive control with adaptive machine-learning-based model for building energy efficiency and comfort optimization,Applied Energy,True,True,both
