file,bucket_or_optimizer,term_hit,host_scales,systems_in_window,sentence
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,coil;doas,"However, a sophisticated control technique is needed to coordinate the control of multiple cooling coils in such systems."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;coil;doas,This paper presents a novel model predictive control (MPC) developed for a DOAS-assisted SSLC system.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;doas,"The MPC adopts a linear state-space model that captures building thermodynamics, thermal comfort and ACMV for building response prediction and optimization."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;ahu;coil;doas,"Subsequently, a multi-objective cost function is employed to optimize energy use and thermal comfort while fulfilling constraints of predicted mean vote (PMV) (-0.5, 0.5) and relative humidity (0%, 65%) in buildings."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,ahu;coil;doas,The performance of the MPC for controlling a conventional single-coil air-handling unit (AHU) system and a DOAS-assisted SSLC system is experimentally investigated and compared to a conventional feedback-control-based building management system (BMS).
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,"As the adjacent lecture theatres (above and below the lecture theatre) are also air-conditioned by the same BMS with the same room air temperature set-point, the temperature difference between the lecture theatre and the adjacent rooms is expected to be small."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,"Thus, thermal effects in adjacent rooms are not modelled (assumed that there is no heat exchange through the floor/roof) and it is treated as unmeasured disturbances for the MPC."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,There are no adjacent rooms on the four side walls of the lecture theatre.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;coil;doas,"In real-time control, the ACMV model can be adapted at each time step with measured flowrates of fresh air and return air."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"Thus, MPC employing the adaptive ACMV model is also reformulated at each time step based on the updated ACMV model."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,Details of the MPC in this study are described in Section 2.3 .
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,2.2.3 Model calibration To reduce prediction errors due to uncertainties in the thermal RC model described by Eqs.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,"With inputs of measured disturbances, MPC optimizes control signals to the ACMV system of the test room."
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv,State parameters in SSM are updated at each control interval to compensate for the model error of SSM and avoid the accumulation of prediction error in the MPC controller.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;ahu;coil,Measured flowrates of fresh and return air are fed back to MPC to update the ACMV model in the SSM.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,system_model,acmv;ahu;coil,2.3.1 MPC controller for the original AHU MPC-AHU optimizes the cooling power provided by the chilled water in the cooling coil of AHU according to an objective function (Eq.
10.1016_j.apenergy.2019.113920.json,[optim] classical_control_and_mpc,mpc,NM,NM,control intervals well due to the frequent change (1 min) of cooling power set-point.
