DOI,Year,Title,Journal
10.1016/j.enbuild.2015.06.002,2015,Model predictive control for indoor thermal comfort and energy optimization using occupant feedback,Energy and Buildings
10.1016/j.enbuild.2015.01.038,2015,A data-driven state-space model of indoor thermal sensation using occupant feedback for low-energy buildings,Energy and Buildings
10.1016/j.enbuild.2014.10.008,2015,Thermal environments and thermal comfort impacts of Direct Load Control air-conditioning strategies in university lecture theatres,Energy and Buildings
10.1016/j.apenergy.2015.05.119,2015,Fuzzy logic-based advanced on–off control for thermal comfort in residential buildings,Applied Energy
10.1016/j.applthermaleng.2014.11.004,2015,A study of adaptive thermal comfort in a well-controlled climate chamber,Applied Thermal Engineering
10.1016/j.buildenv.2014.11.019,2015,Analysis and experiments on the periodically fluctuating air temperature in a building with earth-air tube ventilation,Building and Environment
10.1016/j.apenergy.2014.12.047,2015,A data-driven feed-forward decision framework for building clusters operation under uncertainty,Applied Energy
10.1016/j.enbuild.2014.10.083,2015,Building optimization and control algorithms implemented in existing BEMS using a web based energy management and control system,Energy and Buildings
10.1016/j.proeng.2015.09.099,2015,Analysis on Issues of Control and Operation Regulation of the Variable Flow in Heat Metering System,Procedia Engineering
10.1016/j.egypro.2015.11.142,2015,Influence of Natural Ventilation on the Thermal Behavior of a Massive Building,Energy Procedia
10.1016/j.enbuild.2015.09.052,2015,Demand controlled ventilation indoor climate and energy performance in a high performance building with air flow rate controlled chilled beams,Energy and Buildings
10.1016/j.enbuild.2015.06.012,2015,Adaptive predictive control of thermo-active building systems (TABS) based on a multiple regression algorithm,Energy and Buildings
10.1016/j.applthermaleng.2015.05.032,2015,In-situ validation of a fault tolerant control strategy for VAV systems,Applied Thermal Engineering
10.1016/j.buildenv.2015.01.037,2015,A new model predictive control scheme for energy and cost savings in commercial buildings: An airport terminal building case study,Building and Environment
10.1016/j.applthermaleng.2014.10.004,2015,Integrated analysis of CFD data with K-means clustering algorithm and extreme learning machine for localized HVAC control,Applied Thermal Engineering
10.1016/j.buildenv.2014.11.037,2015,Simulating the human-building interaction: Development and validation of an agent-based model of office occupant behaviors,Building and Environment
10.1016/j.enbuild.2015.06.064,2015,Multi-objective optimization of a nearly zero-energy building based on thermal and visual discomfort minimization using a non-dominated sorting genetic algorithm (NSGA-II),Energy and Buildings
10.1016/j.enbuild.2014.11.037,2015,Model predictive control of radiant slab systems with evaporative cooling sources,Energy and Buildings
10.1016/j.apenergy.2015.05.081,2015,Model-based and model-free “plug-and-play” building energy efficient control,Applied Energy
