DOI,Year,Title,Journal,Reason
10.1016/j.apenergy.2019.114199,2020,Large-scale industrial energy systems optimization under uncertainty: A data-driven robust optimization approach,Applied Energy,Eliminated – Other/Industry
10.1016/j.jclepro.2020.120497,2020,Exploring a strategy for tall office buildings based on thermal energy consumption from industrialized perspective: An empirical study in China,Journal of Cleaner Production,Eliminated – Other/Industry
10.1016/j.rser.2019.109580,2020,Towards net zero energy in industrial and commercial buildings in Portugal,Renewable and Sustainable Energy Reviews,Eliminated – Other/Industry
10.1016/j.ijepes.2020.106162,2020,Energy theft detection in an edge data center using threshold-based abnormality detector,International Journal of Electrical Power & Energy Systems,Eliminated – Other/Industry
10.1016/j.ijrefrig.2020.04.015,2020,Energy-saving effect of integrated cooling unit with rotary booster and compressor for data center,International Journal of Refrigeration,Eliminated – Other/Industry
10.1016/j.solener.2020.05.087,2020,Innovative control approaches to assess energy implications of adaptive facades based on simulation using EnergyPlus,Solar Energy,Eliminated – Other/Industry
10.1016/j.jclepro.2020.120157,2020,"Energy, economic, environmental and engineering quantity optimization of industrial energy recovery network",Journal of Cleaner Production,Eliminated – Other/Industry
10.1016/j.rser.2020.110208,2021,Recent advances on industrial data-driven energy savings: Digital twins and infrastructures,Renewable and Sustainable Energy Reviews,Eliminated – Other/Industry
10.1016/j.jobe.2021.102547,2021,"Assessment of the development level of regional industrialized building based on cloud model: A case study in Guangzhou, China",Journal of Building Engineering,Eliminated – Other/Industry
10.1016/j.enbuild.2020.110603,2021,Prototype energy models for data centers,Energy and Buildings,Eliminated – Other/Industry
10.1016/j.jclepro.2021.129587,2021,"Comparing the environmental impacts of wooden buildings in Spain, Slovenia, and Germany",Journal of Cleaner Production,Eliminated – Other/Industry
10.1016/j.jobe.2020.101906,2021,Time history shaking table test and seismic performance analysis of Industrialised Building System (IBS) block house subsystems,Journal of Building Engineering,Eliminated – Other/Industry
10.1016/j.jclepro.2021.127105,2021,Modelling and analysis of the energy intensity in polyacrylonitrile (PAN) precursor and carbon fibre manufacturing,Journal of Cleaner Production,Eliminated – Other/Industry
10.1016/j.apenergy.2021.117165,2021,Drivers of consumers’ change to an energy-efficient heating appliance (EEHA) in households: Evidence from five European countries,Applied Energy,Eliminated – Other/Industry
10.1016/j.scs.2021.103544,2022,A novel probabilistic regression model for electrical peak demand estimate of commercial and manufacturing buildings,Sustainable Cities and Society,Eliminated – Other/Industry
10.1016/j.buildenv.2022.108908,2022,The problem of indoor environmental quality at a general Slovenian hospital and its contribution to sick building syndrome,Building and Environment,Eliminated – Other/Industry
10.1016/j.jclepro.2022.131208,2022,A robust approach for the decomposition of high-energy-consuming industrial loads with deep learning,Journal of Cleaner Production,Eliminated – Other/Industry
10.1016/j.aei.2022.101805,2022,A comparative study on pretreatment methods and dimensionality reduction techniques for energy data disaggregation in home appliances,Advanced Engineering Informatics,Eliminated – Other/Industry
10.1016/j.enbuild.2021.111782,2022,"Determinants of residential end-use energy: Effects of buildings, sociodemographics, and household appliances",Energy and Buildings,Eliminated – Other/Industry
10.1016/j.jobe.2022.105308,2022,Performance optimization of an air source HVAC system for an internet data center building using the integrated COP method,Journal of Building Engineering,Eliminated – Other/Industry
10.1016/j.enbuild.2021.111618,2022,A novel methodology for identifying appliance usage patterns in buildings based on auto-correlation and probability distribution analysis,Energy and Buildings,Eliminated – Other/Industry
10.1016/j.ijrefrig.2023.07.010,2023,Energy and exergy analysis of a subfreezing evaporator environment ammonia-water absorption refrigeration cycle: Machine learning and parametric optimization,International Journal of Refrigeration,Eliminated – Other/Industry
10.1016/j.enbenv.2024.12.005,2024,Unsupervised anomaly detection of industrial building energy consumption,Energy and Built Environment,Eliminated – Other/Industry
10.1016/j.enbuild.2024.114457,2024,Advancing industrial building energy measurement and verification (M&V) with deep learning: Evaluating data size and feature selection impact,Energy and Buildings,Eliminated – Other/Industry
10.1016/j.apenergy.2024.123840,2024,Digital twin-driven energy consumption management of integrated heat pipe cooling system for a data center,Applied Energy,Eliminated – Other/Industry
10.1016/j.enbenv.2024.07.006,2024,Thermoeconomic assessment of the air-cooled tropical data center through energy-saving strategies,Energy and Built Environment,Eliminated – Other/Industry
10.1016/j.enbuild.2024.114036,2024,An energy-efficient exhaust hood for industrial buildings with strong thermal buoyancy,Energy and Buildings,Eliminated – Other/Industry
10.1016/j.apenergy.2023.122473,2024,Innovative approaches for deep decarbonization of data centers and building space heating networks: Modeling and comparison of novel waste heat recovery systems for liquid cooling systems,Applied Energy,Eliminated – Other/Industry
10.1016/j.jclepro.2024.143049,2024,Universal artificial intelligence workflow for factory energy saving: Ten case studies,Journal of Cleaner Production,Eliminated – Other/Industry
