DOI,Year,Title,Journal
10.1016/j.physbeh.2014.11.064,2015,"The relationship between radiant heat, air temperature and thermal comfort at rest and exercise",Physiology & Behavior
10.1016/j.uclim.2014.11.001,2015,Meteorological forcing data for urban outdoor thermal comfort models from a coupled convective boundary layer and surface energy balance scheme,Urban Climate
10.1016/j.ijsbe.2015.02.003,2015,Analysis of thermal comfort and indoor air flow characteristics for a residential building room under generalized window opening position at the adjacent walls,International Journal of Sustainable Built Environment
10.1016/j.landurbplan.2015.02.007,2015,"Thermal comfort of outdoor spaces in Lahore, Pakistan: Lessons for bioclimatic urban design in the context of global climate change",Landscape and Urban Planning
10.1016/j.asej.2015.01.005,2015,Transient analysis and improvement of indoor thermal comfort for an air-conditioned room with thermal insulations,Ain Shams Engineering Journal
10.1016/j.uclim.2015.10.002,2015,Comparative analysis of green actions to improve outdoor thermal comfort inside typical urban street canyons,Urban Climate
10.1016/j.landurbplan.2015.02.009,2015,Street greenery and its physical and psychological impact on thermal comfort,Landscape and Urban Planning
10.1016/j.enconman.2015.05.049,2015,Joint energy demand and thermal comfort optimization in photovoltaic-equipped interconnected microgrids,Energy Conversion and Management
10.1016/j.promfg.2015.07.662,2015,Thermal Comfort in Industrial Environment: Conditions and Parameters,Procedia Manufacturing
10.1016/j.esd.2015.09.004,2015,Redeveloping industrial buildings for residential use: Energy and thermal comfort aspects,Energy for Sustainable Development
10.1016/j.esd.2015.05.007,2015,Investigation on the thermal comfort and energy efficiency of stratified air distribution systems,Energy for Sustainable Development
10.1016/j.sbspro.2015.08.105,2015,Architectural Evaluation of Thermal Comfort: Sick Building Syndrome Symptoms in Engineering Education Laboratories,Procedia - Social and Behavioral Sciences
10.1016/j.sbspro.2015.01.063,2015,Thermal Comfort of Residential Building in Malaysia at Different Micro-climates,Procedia - Social and Behavioral Sciences
10.1016/j.apergo.2015.03.014,2015,A field study on thermal comfort in an Italian hospital considering differences in gender and age,Applied Ergonomics
10.1016/j.uclim.2014.07.005,2015,Indoor air quality and thermal comfort in elderly care centers,Urban Climate
10.1016/j.apergo.2014.11.014,2015,An investigation of thermal comfort inside a bus during heating period within a climatic chamber,Applied Ergonomics
10.1016/j.ergon.2015.08.009,2015,Experimental investigation of the effect of thermal comfort parameters on cervical range of motion,International Journal of Industrial Ergonomics
10.1016/j.sbspro.2014.10.215,2015,Evaluation on the Thermal Comfort from Reviews and Simulation at Seaside Resorts,Procedia - Social and Behavioral Sciences
10.1016/j.physbeh.2014.12.016,2015,Thermal comfort following immersion,Physiology & Behavior
10.1016/j.jastp.2015.09.014,2015,Daily global solar radiation prediction from air temperatures using kernel extreme learning machine: A case study for Iran,Journal of Atmospheric and Solar-Terrestrial Physics
10.1016/j.enpol.2015.04.003,2015,Designing for an imagined user: Provision for thermal comfort in energy-efficient extra-care housing,Energy Policy
10.1016/j.apergo.2014.11.013,2015,Evaluation of thermal comfort in university classrooms through objective approach and subjective preference analysis,Applied Ergonomics
10.1016/j.landurbplan.2015.02.008,2015,Effect of tree planting design and tree species on human thermal comfort in the tropics,Landscape and Urban Planning
10.1016/j.promfg.2015.07.893,2015,Comparison of Sleep Quality and Thermal Comfort for Innovative Mattress Design,Procedia Manufacturing
10.1016/j.knosys.2015.07.026,2015,A data-driven approximate causal inference model using the evidential reasoning rule,Knowledge-Based Systems
10.1016/j.apergo.2014.11.012,2015,Novel ventilation design of combining spacer and mesh structure in sports T-shirt significantly improves thermal comfort,Applied Ergonomics
10.1016/j.procs.2015.05.296,2015,"Towards an Integrated Cyberinfrastructure for Scalable Data-driven Monitoring, Dynamic Prediction and Resilience of Wildfires",Procedia Computer Science
10.1016/j.atmosres.2014.02.005,2015,Regional climate model simulations of extreme air temperature in Greece. Abnormal or common records in the future climate?,Atmospheric Research
10.1016/j.firesaf.2015.04.008,2015,Combining engineering and data-driven approaches: Calibration of a generic fire risk model with data,Fire Safety Journal
10.1016/j.jglr.2014.12.006,2015,"Development and application of a North American Great Lakes hydrometeorological database — Part I: Precipitation, evaporation, runoff, and air temperature",Journal of Great Lakes Research
10.1016/j.dib.2015.11.006,2015,"Supplementary data of “Impacts of mesic and xeric urban vegetation on outdoor thermal comfort and microclimate in Phoenix, AZ”",Data in Brief
10.1016/j.acme.2015.03.002,2015,Summer overheating of a passive sports hall building,Archives of Civil and Mechanical Engineering
10.1016/j.ecoenv.2015.03.027,2015,Energy efficient model based algorithm for control of building HVAC systems,Ecotoxicology and Environmental Safety
10.1016/j.compeleceng.2014.12.008,2015,"Data-driven multi-stage multi-objective motion planning of mobile robots, application to near minimum power fuzzy parking",Computers & Electrical Engineering
10.1016/j.asoc.2015.09.022,2015,"Predictive control of multizone heating, ventilation and air-conditioning systems in non-residential buildings",Applied Soft Computing
10.1016/j.enconman.2015.10.030,2015,Performance assessment of earth pipe cooling system for low energy buildings in a subtropical climate,Energy Conversion and Management
10.1016/j.jenvp.2015.01.007,2015,Tracking the human-building interaction: A longitudinal field study of occupant behavior in air-conditioned offices,Journal of Environmental Psychology
10.1016/j.sbspro.2015.01.047,2015,Adapting Human Comfort in an Urban Area: The Role of Tree Shades Towards Urban Regeneration,Procedia - Social and Behavioral Sciences
10.1016/j.sbspro.2015.01.012,2015,Thermal Performance Analysis of Courtyards in a Hot Humid Climate Using Computational Fluid Dynamics CFD Method,Procedia - Social and Behavioral Sciences
10.1016/j.enpol.2015.03.011,2015,The changing landscape of thermal experience and warmth in older people’s dwellings,Energy Policy
10.1016/j.uclim.2015.07.005,2015,Thermal footprint effect of rooftop urban cooling strategies,Urban Climate
10.1016/j.jtherbio.2015.06.008,2015,Human thermal physiological and psychological responses under different heating environments,Journal of Thermal Biology
10.1016/j.landurbplan.2015.02.006,2015,Designing urban parks that ameliorate the effects of climate change,Landscape and Urban Planning
10.1016/j.enconman.2014.12.025,2015,Evaluation of a fast power demand response strategy using active and passive building cold storages for smart grid applications,Energy Conversion and Management
10.1016/j.foar.2014.06.007,2015,Parametric study on the performance of green residential buildings in China,Frontiers of Architectural Research
10.1016/j.jtrangeo.2015.06.003,2015,En-route weather and place valuations for different transport mode users,Journal of Transport Geography
10.1016/j.uclim.2015.04.004,2015,"Urban heat island in Padua, Italy: Simulation analysis and mitigation strategies",Urban Climate
10.1016/j.oregeorev.2015.01.001,2015,"Machine learning predictive models for mineral prospectivity: An evaluation of neural networks, random forest, regression trees and support vector machines",Ore Geology Reviews
10.1016/j.enconman.2015.07.070,2015,Experimental investigations on the performance of a collector–storage wall system using phase change materials,Energy Conversion and Management
10.1016/j.hbrcj.2014.03.004,2015,"Numerical modelling evaluation for the microclimate of an outdoor urban form in Cairo, Egypt",HBRC Journal
10.1016/j.conbuildmat.2015.06.053,2015,Energy and visual performance of the silica aerogel glazing system in commercial buildings of Hong Kong,Construction and Building Materials
10.1016/j.uclim.2015.05.005,2015,"Suitable configurations for forested urban canyons to mitigate the UHI in the city of Mendoza, Argentina",Urban Climate
10.1016/j.uclim.2015.09.004,2015,"Evaluation of effect of tree canopy on thermal environment, thermal sensation, and mental state",Urban Climate
10.1016/j.proenv.2015.05.006,2015,Temporal Statistical Analysis of Urban Heat Islands at the Microclimate Level,Procedia Environmental Sciences
10.1016/j.uclim.2015.09.008,2015,Defining air-conditioning and heating seasons based on human thermal perception and building energy efficiency,Urban Climate
10.1016/j.jweia.2015.03.024,2015,Influence of morphologies on the microclimate in urban neighbourhoods,Journal of Wind Engineering and Industrial Aerodynamics
10.1016/j.uclim.2015.09.007,2015,Evaluation of the seasonal effect of increasing albedo on urban climate and energy consumption of buildings in Montreal,Urban Climate
10.1016/j.foar.2014.11.003,2015,Effect of façade systems on the performance of cooling ceilings: In situ measurements,Frontiers of Architectural Research
10.1016/j.sbspro.2014.10.233,2015,POE of Bioclimatic Design Building towards Promoting Sustainable Living,Procedia - Social and Behavioral Sciences
10.1016/j.sbspro.2015.08.193,2015,Promotion of Urban Environment by Consideration of Human Thermal & Wind Comfort: A Literature Review,Procedia - Social and Behavioral Sciences
10.1016/j.uclim.2015.09.002,2015,Creating drafts in urban settings through coloured façades: Exploring a new climate adaptation measure based on thermal stratification,Urban Climate
10.1016/j.erss.2015.03.008,2015,"Fuel poverty, policy, and equity in New Zealand: The promise of prepayment metering",Energy Research & Social Science
10.1016/j.strusafe.2015.05.001,2015,An empirical comparison of machine learning techniques for dam behaviour modelling,Structural Safety
10.1016/j.erss.2015.08.016,2015,An analysis of smart metering information systems: A psychological model of self-regulated behavioural change,Energy Research & Social Science
10.1016/j.enconman.2015.10.020,2015,Numerical simulation of the dual effect of green roof thermal performance,Energy Conversion and Management
