DOI,Year,Title,Journal
10.1016/j.buildenv.2020.107089,2020,Adaptive and distributed operation of HVAC systems: Energy and comfort implications of active diffusers as new adaptation capacities,Building and Environment
10.1016/j.enbuild.2020.109825,2020,Building temperature regulation in a multi-zone HVAC system using distributed adaptive control,Energy and Buildings
10.1016/j.apenergy.2020.115322,2020,An agent-based distributed real-time optimal control strategy for building HVAC systems for applications in the context of future IoT-based smart sensor networks,Applied Energy
10.1016/j.apenergy.2020.115371,2020,A multi-agent based distributed approach for optimal control of multi-zone ventilation systems considering indoor air quality and energy use,Applied Energy
10.1016/j.enbuild.2020.110627,2021,Study on the distributed model predictive control for multi-zone buildings in personalized heating,Energy and Buildings
10.1016/j.apenergy.2021.116605,2021,A real-time optimal control strategy for multi-zone VAV air-conditioning systems adopting a multi-agent based distributed optimization method,Applied Energy
10.1016/j.apenergy.2021.117516,2021,A delay-tolerant distributed optimal control method concerning uncertain information delays in IoT-enabled field control networks of building automation systems,Applied Energy
10.1016/j.buildenv.2022.109344,2022,Study of distributed model predictive control for radiant floor heating systems with hydraulic coupling,Building and Environment
10.1016/j.enbuild.2022.112066,2022,Nonlinear Distributed Model Predictive Control for multi-zone building energy systems,Energy and Buildings
10.1016/j.jobe.2022.104498,2022,A general multi agent-based distributed framework for optimal control of building HVAC systems,Journal of Building Engineering
10.1016/j.buildenv.2022.109322,2022,Data-oriented distributed overall optimization for large-scale HVAC systems with dynamic supply capability and distributed demand response,Building and Environment
10.1016/j.scs.2021.103625,2022,Energy optimization for regional buildings based on distributed reinforcement learning,Sustainable Cities and Society
10.1016/j.apenergy.2021.118362,2022,Hierarchical distributed multi-energy demand response for coordinated operation of building clusters,Applied Energy
10.1016/j.enbuild.2021.111806,2022,Distributed model predictive control of buildings and energy hubs,Energy and Buildings
10.1016/j.apenergy.2022.118825,2022,Scalable multi-agent reinforcement learning for distributed control of residential energy flexibility,Applied Energy
10.1016/j.energy.2022.123634,2022,Coordination of commercial prosumers with distributed demand-side flexibility in energy sharing and management system,Energy
10.1016/j.enbuild.2021.111756,2022,Distributed real-time optimal control of central air-conditioning systems,Energy and Buildings
10.1016/j.enbuild.2023.113753,2024,Model predictive control of distributed energy resources in residential buildings considering forecast uncertainties,Energy and Buildings
10.1016/j.enbuild.2023.113884,2024,Model predictive control for demand flexibility of a residential building with multiple distributed energy resources,Energy and Buildings
10.1016/j.jobe.2022.104498,2022,A general multi agent-based distributed framework for optimal control of building HVAC systems,Journal of Building Engineering
