DOI,Year,Title,Journal
10.1016/j.egypro.2015.11.640,2015,Comparison of the Efficiency of Building Hybrid Ventilation Systems with Different Thermal Comfort Models,Energy Procedia
10.1016/j.buildenv.2015.04.017,2015,An online learning approach for quantifying personalized thermal comfort via adaptive stochastic modeling,Building and Environment
10.1016/j.buildenv.2014.11.027,2015,Thermal comfort assessment of an office building served by under-floor air distribution (UFAD) system – A case study,Building and Environment
10.1016/j.buildenv.2014.11.018,2015,Adaptive model for outdoor thermal comfort assessment in an Oasis city of arid climate,Building and Environment
10.1016/j.scs.2015.07.017,2015,Impact of urban heat islands on the thermal comfort and cooling energy demand of artificial islands—A case study of AMWAJ Islands in Bahrain,Sustainable Cities and Society
10.1016/j.enbuild.2015.07.037,2015,Thermal comfort of multiple user groups in indoor aquatic centres,Energy and Buildings
10.1016/j.buildenv.2015.02.017,2015,A new method to assess spatial variations of outdoor thermal comfort: Onsite monitoring results and implications for precinct planning,Building and Environment
10.1016/j.egypro.2015.11.522,2015,A Field of the Thermal Comfort in University Buildings in Thailand under Air Condition Room,Energy Procedia
10.1016/j.proeng.2015.08.1080,2015,Thermal Comfort and Thermal Adaptation between Residential and Office Buildings in Severe Cold Area of China,Procedia Engineering
10.1016/j.enbuild.2014.11.063,2015,Application of multi-objective genetic algorithm to optimize energy efficiency and thermal comfort in building design,Energy and Buildings
10.1016/j.buildenv.2014.11.009,2015,Weighting of climate parameters for the prediction of thermal comfort in an aircraft passenger cabin,Building and Environment
10.1016/j.buildenv.2014.03.014,2015,Outdoor thermal comfort within five different urban forms in the Netherlands,Building and Environment
10.1016/j.egypro.2015.11.656,2015,Thermal Comfort Evaluation Within Non-residential Environments: Development of Artificial Neural Network by Using the Adaptive Approach Data,Energy Procedia
10.1016/j.egypro.2015.11.627,2015,Variability Assessment of Thermal Comfort in a Retrofitted Social Housing Neighborhood Based on “In Situ” Measurements,Energy Procedia
10.1016/j.proeng.2015.08.1029,2015,The Dynamic Thermal Comfort Index Analysis under the Air Supply Vent Coupled with the Cross-Flow,Procedia Engineering
10.1016/j.enbuild.2014.12.013,2015,A generalized thermal perception approach for indoor thermal comfort assessment in the humid tropics of Malaysia,Energy and Buildings
10.1016/j.enbuild.2015.03.055,2015,"Thermal comfort in the Fraschini theatre (Pavia, Italy): Correlation between data from questionnaires, measurements, and mathematical model",Energy and Buildings
10.1016/j.enbuild.2015.05.017,2015,Impact of different thermal comfort models on zero energy residential buildings in hot climate,Energy and Buildings
10.1016/j.buildenv.2014.08.029,2015,Temporal and spatial variability of urban heat island and thermal comfort within the Rotterdam agglomeration,Building and Environment
10.1016/j.proeng.2015.08.502,2015,Developing a Thermal Comfort Report Card for Building,Procedia Engineering
10.1016/j.buildenv.2014.06.019,2015,Evaluating thermal comfort in mixed-mode buildings: A field study in a subtropical climate,Building and Environment
10.1016/j.egypro.2015.11.661,2015,Thermal Performances of Traditional Houses in Dry Hot Arid Climate and the Effect of Natural Ventilation on Thermal Comfort: A Case Study in Damascus,Energy Procedia
