DOI,Year,Title,Journal
10.1016/j.enbuild.2020.110271,2020,Cross-sectoral assessment of the performance gap using calibrated building energy performance simulation,Energy and Buildings
10.1016/j.enbuild.2020.110276,2020,Closing the building energy performance gap through component level analysis and stakeholder collaborations,Energy and Buildings
10.1016/j.enbuild.2023.113747,2023,Investigation of heating energy performance gap (EPG) in design and operation stages of residential buildings,Energy and Buildings
10.1016/j.enbuild.2020.110493,2020,Data-driven hybrid model and operating algorithm to shave peak demand costs of building electricity,Energy and Buildings
10.1016/j.enbuild.2021.111218,2021,End-to-end deep meta modelling to calibrate and optimize energy consumption and comfort,Energy and Buildings
10.1016/j.rser.2022.112703,2022,Intelligent optimization framework of near zero energy consumption building performance based on a hybrid machine learning algorithm,Renewable and Sustainable Energy Reviews
10.1016/j.energy.2023.127793,2023,Optimizing energy consumption patterns of smart home using a developed elite evolutionary strategy artificial ecosystem optimization algorithm,Energy
10.1016/j.jobe.2024.110411,2024,Leveraging multi-zone building data with machine learning-based models and genetic algorithms to optimize air handling units,Journal of Building Engineering
10.1016/j.jobe.2023.108341,2024,Investigating adaptive sampling strategies for optimal building energy performance using artificial neural networks and kriging surrogate models,Journal of Building Engineering
10.1016/j.rser.2023.114235,2024,Multi-sensor data fusion framework for energy optimization in smart homes,Renewable and Sustainable Energy Reviews
10.1016/j.apenergy.2021.118088,2022,A hierarchical object oriented Bayesian network-based fault diagnosis method for building energy systems,Applied Energy
10.1016/j.apenergy.2020.115872,2020,Effective non-intrusive load monitoring of buildings based on a novel multi-descriptor fusion with dimensionality reduction,Applied Energy
10.1016/j.enbuild.2023.113226,2023,DeepEdge-NILM: A case study of non-intrusive load monitoring edge device in commercial building,Energy and Buildings
10.1016/j.apenergy.2022.120223,2023,Transfer learning for multi-objective non-intrusive load monitoring in smart building,Applied Energy
10.1016/j.enbuild.2022.112326,2022,Research on energy-saving optimization of commercial central air-conditioning based on data mining algorithm,Energy and Buildings
10.1016/j.enbuild.2021.110846,2021,Agent-based stochastic model of thermostat adjustments: A demand response application,Energy and Buildings
10.1016/j.apenergy.2022.119770,2022,"Home energy management under realistic and uncertain conditions: A comparison of heuristic, deterministic, and stochastic control methods",Applied Energy
10.1016/j.enbuild.2022.112594,2023,Model-free dynamic management strategy for low-carbon home energy based on deep reinforcement learning accommodating stochastic environments,Energy and Buildings

