DOI,Year,Title,Journal
10.1007/s12205-013-0597-1,2015,Design and performance evaluation of low cost Earth to air heat exchanger model suitable for small buildings in arid and semi arid regions,KSCE Journal of Civil Engineering
10.1007/s12205-015-0021-0,2015,Adjustment comparison of veranda effect on building shadow area in semi-arid and moderate climates,KSCE Journal of Civil Engineering
10.3168/jds.2015-9667,2015,<ce:italic>Technical note:</ce:italic> Validation of a handheld meter for measuring β-hydroxybutyrate concentrations in plasma and serum from dairy cows,Journal of Dairy Science
10.1016/B978-1-78242-380-5.00018-2,2015,18: The impact of electrochromic windows on the energy performance of buildings in Mediterranean climates: a case study,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-0-12-802508-6.00001-6,2015,Chapter 1: Supervised Learning with the Artificial Neural Networks Algorithm for Modeling Immune Cell Differentiation,"Emerging Trends in Computational Biology, Bioinformatics, and Systems Biology"
10.1016/S1001-6058(15)60560-1,2015,Numerical study of impurity distribution in ultrasonic heat meter body,"Journal of Hydrodynamics, Ser. B"
10.5094/APR.2015.003,2015,Statistical approach for determining the effects of microclimatic parameters on household spray products aerosol deposition,Atmospheric Pollution Research
10.1016/B978-1-78242-380-5.00004-2,2015,4: A comparison of thermal performance of different pavement materials,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/S2212-5671(15)00188-4,2015,Different Module Placements in a Modular Façade System for Natural Ventilation,Procedia Economics and Finance
10.3168/jds.2014-9036,2015,Carryover of bovine leukemia virus antibodies in samples from shared milk meters,Journal of Dairy Science
10.1016/B978-1-78242-010-1.00016-1,2015,16: Smart meters for improved energy demand management: The Nordic experience,Eco-Friendly Innovation in Electricity Transmission and Distribution Networks
10.5623/cig2015-302,2015,3D MODEL CONSTRUCTION IN AN URBAN ENVIRONMENT FROM SPARSE LIDAR POINTS AND AERIAL PHOTOS—A STATISTICAL APPROACH,Geomatica
10.1016/S1001-6058(15)60466-8,2015,Study of errors in ultrasonic heat meter measurements caused by impurities of water based on ultrasonic attenuation,"Journal of Hydrodynamics, Ser. B"
10.1533/9781782420965.2.325,2015,13: Integrating phase change materials (PCMs) in thermal energy storage systems for buildings,Advances in Thermal Energy Storage Systems
10.1016/B978-0-444-53802-4.00057-9,2015,3.03: Gravimetric Methods – Absolute and Relative Gravity Meter: Instruments Concepts and Implementation,Treatise on Geophysics
10.1007/s12205-013-1463-x,2015,A research on environmental rating systems considering building energy performances in different climatic regions of Turkey,KSCE Journal of Civil Engineering
10.1016/S0262-4079(15)30542-X,2015,Five metres and counting,New Scientist
10.1016/B978-0-444-63576-1.50065-0,2015,A comprehensive sensitivity and uncertainty analysis of a milk drying process,Computer Aided Chemical Engineering
10.1016/B978-1-78242-233-4.00006-1,2015,6: High-performance architectural membranes: Phase-change materials,Fabric Structures in Architecture
