DOI,Year,Title,Journal,Reason
10.1016/j.enbuild.2020.110484,2020,Automated in-situ determination of buildings’ global thermo-physical characteristics and air change rates through inverse modelling of smart meter and air temperature data,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2019.109582,2020,"Comparison of mean radiant and air temperatures in mechanically-conditioned commercial buildings from over 200,000 field and laboratory measurements",Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.110493,2020,Data-driven hybrid model and operating algorithm to shave peak demand costs of building electricity,Energy and Buildings,Eliminated – unclear/other
10.1016/j.apenergy.2020.114715,2020,Unsupervised learning of energy signatures to identify the heating system and building type using smart meter data,Applied Energy,Eliminated – unclear/other
10.1016/j.enbuild.2020.109892,2020,"The good, the bad, and the ugly: Data-driven load profile discord identification in a large building portfolio",Energy and Buildings,Eliminated – unclear/other
10.1016/j.autcon.2020.103411,2020,Unified architecture for data-driven metadata tagging of building automation systems,Automation in Construction,Eliminated – unclear/other
10.1016/j.buildenv.2019.106612,2020,Optimization of energy saving with adaptive setpoint temperatures by calculating the prevailing mean outdoor air temperature,Building and Environment,Eliminated – unclear/other
10.1016/j.buildenv.2019.106477,2020,Application of building geometry indexes to assess the correlation between buildings and air temperature,Building and Environment,Eliminated – unclear/other
10.1016/j.enbuild.2020.110223,2020,Field study of a self-regulating active beam system for simultaneous heating and cooling of office buildings,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2019.109686,2020,Estimating electricity impact profiles for building characteristics using smart meter data and mixed models,Energy and Buildings,Eliminated – unclear/other
10.1016/j.buildenv.2020.106933,2020,"The influence of acclimatization, age and gender-related differences on thermal perception in university buildings: Case studies in Scotland and England",Building and Environment,Eliminated – unclear/other
10.1016/j.enbuild.2020.109831,2020,State-of-the-art on research and applications of machine learning in the building life cycle,Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2020.101349,2020,"Heat cost allocation in buildings: Possibilities, problems and solutions",Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.energy.2020.117525,2020,First results of remote building characterisation based on smart meter measurement data,Energy,Eliminated – unclear/other
10.1016/j.enbuild.2020.110494,2020,On the potential of building adaptation measures to counterbalance the impact of climatic change in the tropics,Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2019.101023,2020,Bilinear model-based diagnosis of lock-in-place failures of variable-air-volume HVAC systems of multizone buildings,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.enbuild.2019.109575,2020,Break-point statistical model for building heating hot water consumption with constant volume reheat systems,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.109936,2020,The colours of comfort: From thermal sensation to person-centric thermal zones for adaptive building strategies,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2020.110226,2020,Comparison of linear and nonlinear statistical models for analyzing determinants of residential energy consumption,Energy and Buildings,Eliminated – unclear/other
10.1016/j.buildenv.2020.107115,2020,People’s adaptation to thermal conditions inside buildings for religious practice,Building and Environment,Eliminated – unclear/other
10.1016/j.jobe.2020.101464,2020,An automated framework for buildings continuous commissioning and performance testing – A university building case study,Journal of Building Engineering,Eliminated – unclear/other
10.1016/j.enbuild.2020.109955,2020,Analysis methods for characterizing energy saving opportunities from home automation devices using smart meter data,Energy and Buildings,Eliminated – unclear/other
10.1016/j.enbuild.2019.109576,2020,An efficient metamodel-based method to carry out multi-objective building performance optimizations,Energy and Buildings,Eliminated – unclear/other
10.1016/j.scs.2019.101944,2020,Influence of adaptive energy saving techniques on office buildings located in cities of the Iberian Peninsula,Sustainable Cities and Society,Eliminated – unclear/other
10.1016/j.buildenv.2020.106712,2020,Vegetation in different street orientations of aspect ratio (H/W 1:1) to mitigate UHI and reduce buildings’ energy in arid climate,Building and Environment,Eliminated – unclear/other
10.1016/j.buildenv.2020.107189,2020,"The impacts of building characteristics, social psychological and cultural factors on indoor environment quality productivity belief",Building and Environment,Eliminated – unclear/other
10.1016/j.enbuild.2020.110299,2020,Generating realistic building electrical load profiles through the Generative Adversarial Network (GAN),Energy and Buildings,Eliminated – unclear/other
10.1016/j.scs.2019.102011,2020,Impact of evolving building morphology on microclimate in a hot arid climate,Sustainable Cities and Society,Eliminated – unclear/other
10.1016/j.enbuild.2020.109794,2020,"Building as a virtual power plant, magnitude and persistence of deferrable loads and human comfort implications",Energy and Buildings,Eliminated – unclear/other
10.1016/j.jobe.2020.101385,2020,Optimizing thermal and visual efficiency using parametric configuration of skylights in heritage buildings,Journal of Building Engineering,Eliminated – unclear/other
