DOI,Year,Title,_include_terms,_include_categories
10.1016/j.enbuild.2015.06.002,2015,Model predictive control for indoor thermal comfort and energy optimization using occupant feedback,"energy,control,predictive control","Application,Target"
10.1016/j.enbuild.2015.01.038,2015,A data-driven state-space model of indoor thermal sensation using occupant feedback for low-energy buildings,"building,energy","Context,Target"
10.1016/j.enbuild.2014.10.008,2015,Thermal environments and thermal comfort impacts of Direct Load Control air-conditioning strategies in university lecture theatres,control,Application
10.1016/j.apenergy.2015.05.119,2015,Fuzzy logic-based advanced on–off control for thermal comfort in residential buildings,"building,control","Application,Context"
10.1016/j.applthermaleng.2014.11.004,2015,A study of adaptive thermal comfort in a well-controlled climate chamber,control,Application
10.1016/j.proeng.2015.08.947,2015,Data driven analysis of customer flow meter data,,
10.1016/j.egypro.2015.11.322,2015,Data-driven Simple Thermal Models: The Importance of the Parameter Estimates,,
10.1016/j.buildenv.2014.11.019,2015,Analysis and experiments on the periodically fluctuating air temperature in a building with earth-air tube ventilation,building,Context
10.1016/j.apenergy.2014.12.047,2015,A data-driven feed-forward decision framework for building clusters operation under uncertainty,"building,operation","Application,Context"
10.1016/j.enbuild.2014.10.083,2015,Building optimization and control algorithms implemented in existing BEMS using a web based energy management and control system,"building,energy,control","Application,Context,Target"
10.1016/j.energy.2015.02.024,2015,"Multi-objective optimization of the HVAC (heating, ventilation, and air conditioning) system performance",,
10.1016/j.buildenv.2014.11.004,2015,The difference between the mean radiant temperature and the air temperature within indoor environments: A case study during summer conditions,,
10.1016/j.proeng.2015.09.099,2015,Analysis on Issues of Control and Operation Regulation of the Variable Flow in Heat Metering System,"operation,control",Application
10.1016/j.egypro.2015.11.142,2015,Influence of Natural Ventilation on the Thermal Behavior of a Massive Building,building,Context
10.1016/j.energy.2015.06.001,2015,The impact of the mean daily air temperature change on electricity consumption,,
10.1016/j.enbuild.2015.09.052,2015,Demand controlled ventilation indoor climate and energy performance in a high performance building with air flow rate controlled chilled beams,"building,energy,energy performance,control","Application,Context,Target"
10.1016/j.enbuild.2015.06.012,2015,Adaptive predictive control of thermo-active building systems (TABS) based on a multiple regression algorithm,"building,control,predictive control","Application,Context"
10.1016/j.proeng.2015.09.100,2015,"Economic and Technical Analysis of Several Heat Metering Modes: A Case Study from Beijing, China",,
10.1016/j.buildenv.2015.06.022,2015,Experimental and numerical research to assess indoor environment quality and schoolwork performance in university classrooms,,
10.1016/j.applthermaleng.2014.12.021,2015,Optimum supply air temperature ranges of various air-side economizers in a modular data center,,
10.1016/j.applthermaleng.2015.05.032,2015,In-situ validation of a fault tolerant control strategy for VAV systems,control,Application
10.1016/j.buildenv.2015.07.007,2015,POD approach to determine in real-time the temperature distribution in a cavity,,
10.1016/j.buildenv.2015.01.037,2015,A new model predictive control scheme for energy and cost savings in commercial buildings: An airport terminal building case study,"building,energy,control,predictive control","Application,Context,Target"
10.1016/j.enbuild.2015.09.005,2015,Laboratory testing of a displacement ventilation diffuser for underfloor air distribution systems,,
10.1016/j.applthermaleng.2014.10.004,2015,Integrated analysis of CFD data with K-means clustering algorithm and extreme learning machine for localized HVAC control,control,Application
10.1016/j.buildenv.2014.11.037,2015,Simulating the human-building interaction: Development and validation of an agent-based model of office occupant behaviors,building,Context
10.1016/j.proeng.2015.09.025,2015,Characteristics of Human Body Micro-thermal Environment under Displacement Ventilation,,
10.1016/j.enbuild.2015.06.064,2015,Multi-objective optimization of a nearly zero-energy building based on thermal and visual discomfort minimization using a non-dominated sorting genetic algorithm (NSGA-II),"building,energy","Context,Target"
10.1016/j.proeng.2015.09.120,2015,The Impact of Split Air Condition Supply Temperature to Indoor Temperature Field in Winter,,
10.1016/j.enbuild.2014.11.037,2015,Model predictive control of radiant slab systems with evaporative cooling sources,"control,predictive control",Application
10.1016/j.buildenv.2014.11.023,2015,The effect of temperature and direction of airflow from the personalised ventilation on occupants' thermal sensations in office areas,,
10.1016/j.apenergy.2015.05.081,2015,Model-based and model-free “plug-and-play” building energy efficient control,"building,energy,control","Application,Context,Target"
10.1016/j.enbuild.2014.11.033,2015,Algorithm for automating the selection of a temperature dependent change point model,,
10.1016/j.enbuild.2015.03.052,2015,Ranking appliance energy efficiency in households: Utilizing smart meter data and energy efficiency frontiers to estimate and identify the determinants of appliance energy efficiency in residential buildings,"building,energy,energy efficiency","Context,Target"
10.1016/j.energy.2015.09.002,2015,"Novel activity classification and occupancy estimation methods for intelligent HVAC (heating, ventilation and air conditioning) systems",,
10.1016/j.enbuild.2015.01.050,2015,Energy-efficient control of under-actuated HVAC zones in commercial buildings,"building,energy,control","Application,Context,Target"
10.1016/j.enbuild.2015.03.035,2015,Analysis on building energy performance of Tibetan traditional dwelling in cold rural area of Gannan,"building,energy,energy performance","Context,Target"
10.1016/j.enbuild.2014.11.003,2015,Multi-objectives optimization of Energy Efficiency Measures in existing buildings,"building,energy,energy efficiency","Context,Target"
10.1016/j.buildenv.2015.04.033,2015,MPC control for improving energy efficiency of a building air handler for multi-zone VAVs,"building,energy,energy efficiency,control","Application,Context,Target"
10.1016/j.egypro.2015.03.275,2015,Computational Analysis of Thermal Building in a No-uniform Thermal Environment,building,Context
10.1016/j.buildenv.2015.02.002,2015,Airflow utilization in buildings in hot and humid areas of China,building,Context
10.1016/j.buildenv.2014.11.008,2015,A comparison of student performance between conditioned and naturally ventilated classrooms,,
10.1016/j.buildenv.2014.11.024,2015,Assessment of thermal environmental conditions and quantification of thermal adaptation in naturally ventilated buildings in composite climate of India,building,Context
10.1016/j.apenergy.2015.01.026,2015,Automated measurement and verification: Performance of public domain whole-building electric baseline models,building,Context
